# lams, psi_mean, delta_mean
808.496900 30.685657 75.916472
808.073700 30.647193 75.899855
807.650500 30.704714 75.915856
807.227100 30.732757 75.921945
806.803600 30.812089 75.872994
806.380100 30.853495 75.857388
805.956400 30.871604 75.823611
805.532700 30.897918 75.795875
805.108900 30.917587 75.747124
804.685000 31.000848 75.743788
804.261000 31.022271 75.731499
803.836900 31.090836 75.710948
803.412700 31.140469 75.705998
802.988400 31.171403 75.710485
802.564000 31.262085 75.711478
802.139600 31.259500 75.705461
801.715000 31.268221 75.733536
801.290300 31.301209 75.707169
800.865700 31.282953 75.730988
800.440800 31.240809 75.725169
800.015900 31.266579 75.742874
799.590900 31.281126 75.710521
799.165800 31.356591 75.715765
798.740600 31.464758 75.690235
798.315300 31.516063 75.697605
797.889900 31.633839 75.668388
797.464400 31.704784 75.683933
797.038900 31.842857 75.658041
796.613200 31.937103 75.640479
796.187500 31.903842 75.632551
795.761700 31.959362 75.615331
795.335700 31.969429 75.590640
794.909700 32.038720 75.566770
794.483600 32.035318 75.526005
794.057400 32.089012 75.548427
793.631000 32.218502 75.535466
793.204700 32.270972 75.498131
792.778200 32.297583 75.495722
792.351600 32.358199 75.506641
791.924900 32.390716 75.513696
791.498200 32.458622 75.500541
791.071400 32.515372 75.503575
790.644400 32.576956 75.511181
790.217300 32.551913 75.516053
789.790200 32.606988 75.497063
789.363000 32.648406 75.493906
788.935700 32.682090 75.512761
788.508300 32.719617 75.509924
788.080700 32.776665 75.539391
787.653200 32.872543 75.540338
787.225500 32.852801 75.557385
786.797700 32.864065 75.523005
786.369900 32.980980 75.532129
785.941900 33.030506 75.550403
785.513900 33.066517 75.550430
785.085700 33.126057 75.545647
784.657500 33.170573 75.521050
784.229100 33.176735 75.536010
783.800700 33.195348 75.535474
783.372200 33.230251 75.537521
782.943500 33.247178 75.519597
782.514800 33.351611 75.527459
782.086100 33.386747 75.561008
781.657200 33.412104 75.580762
781.228200 33.446860 75.590328
780.799100 33.478393 75.617585
780.369900 33.527995 75.629660
779.940700 33.500268 75.640342
779.511300 33.501776 75.654590
779.081800 33.525137 75.648308
778.652300 33.611820 75.629368
778.222700 33.679315 75.620764
777.793000 33.695084 75.638656
777.363200 33.764718 75.652167
776.933200 33.771976 75.645383
776.503200 33.800839 75.641458
776.073100 33.834669 75.652631
775.642900 33.870156 75.632168
775.212600 33.844602 75.635752
774.782200 33.848688 75.635971
774.351700 33.895091 75.674864
773.921200 33.977327 75.680449
773.490500 34.035429 75.699007
773.059800 34.105693 75.715280
772.628900 34.156152 75.716402
772.198000 34.209225 75.706770
771.766900 34.233664 75.709994
771.335800 34.243648 75.719837
770.904600 34.289148 75.732330
770.473300 34.348230 75.741963
770.041900 34.393556 75.761279
769.610400 34.465326 75.781480
769.178700 34.517085 75.806112
768.747100 34.489342 75.828582
768.315200 34.585259 75.848777
767.883400 34.666539 75.842613
767.451400 34.712026 75.827051
767.019300 34.725058 75.834989
766.587200 34.776990 75.831122
766.154900 34.798638 75.827205
765.722500 34.820280 75.865090
765.290100 34.843496 75.885173
764.857500 34.904608 75.913712
764.424900 34.999915 75.920723
763.992200 35.104641 75.940767
763.559300 35.162537 75.938619
763.126400 35.164593 75.964494
762.693400 35.262280 75.955748
762.260300 35.246314 75.966705
761.827100 35.307816 75.980059
761.393800 35.273892 75.984733
760.960400 35.290453 75.973039
760.526900 35.380727 75.990102
760.093300 35.461183 75.993213
759.659700 35.541577 75.988288
759.225900 35.538315 76.013116
758.792100 35.608809 76.037782
758.358100 35.644682 76.029290
757.924000 35.610542 76.041401
757.489900 35.638959 76.054923
757.055600 35.634757 76.075617
756.621300 35.690781 76.087909
756.186800 35.712976 76.078739
755.752300 35.742349 76.108107
755.317700 35.808058 76.123714
754.883000 35.776622 76.143841
754.448200 35.772483 76.165141
754.013200 35.820777 76.196263
753.578200 35.902232 76.207406
753.143100 35.955179 76.216956
752.707900 35.982946 76.245179
752.272600 36.001877 76.262457
751.837300 35.975618 76.282472
751.401800 36.025159 76.264083
750.966200 36.057291 76.280523
750.530600 36.038836 76.298066
750.094800 36.044139 76.293324
749.658900 36.089288 76.310333
749.223000 36.090193 76.325753
748.786900 36.100536 76.345123
748.350800 36.188844 76.351600
747.914600 36.258067 76.381803
747.478200 36.266491 76.415224
747.041700 36.302048 76.432766
746.605200 36.314145 76.438916
746.168600 36.377234 76.435438
745.731900 36.434034 76.433840
745.295000 36.509316 76.447652
744.858200 36.534041 76.443893
744.421100 36.567703 76.468940
743.984100 36.685063 76.490847
743.546800 36.706231 76.492036
743.109600 36.738440 76.513844
742.672200 36.760099 76.550918
742.234700 36.760847 76.574777
741.797100 36.767242 76.576089
741.359400 36.766795 76.591791
740.921600 36.806465 76.623355
740.483800 36.819632 76.645039
740.045800 36.830321 76.684163
739.607700 36.861846 76.718581
739.169600 36.923081 76.733931
738.731300 36.968240 76.761927
738.293000 36.968104 76.773546
737.854500 36.987207 76.790212
737.416000 37.042895 76.808299
736.977300 37.004460 76.830694
736.538600 36.997010 76.850711
736.099700 36.994581 76.878542
735.660800 37.023266 76.905214
735.221800 37.044059 76.929587
734.782700 36.990720 76.973288
734.343400 37.020905 76.986668
733.904100 37.046061 76.997732
733.464700 37.032028 77.023605
733.025200 37.015605 77.057318
732.585600 37.112680 77.060020
732.145900 37.099657 77.085006
731.706100 37.022359 77.107117
731.266200 37.047427 77.138097
730.826200 37.040568 77.163278
730.386100 36.974708 77.206445
729.945900 36.961198 77.225467
729.505700 36.897944 77.244898
729.065300 36.917305 77.244791
728.624800 36.898889 77.271326
728.184300 36.885405 77.301569
727.743600 36.874807 77.326278
727.302800 36.844125 77.359775
726.861900 36.870226 77.363602
726.421000 36.845294 77.389497
725.979900 36.858907 77.410442
725.538800 36.819613 77.413052
725.097500 36.819205 77.415038
724.656100 36.815393 77.433301
724.214700 36.765833 77.456374
723.773200 36.746634 77.479964
723.331500 36.712892 77.509599
722.889800 36.719508 77.513941
722.447900 36.706066 77.532579
722.006000 36.689390 77.548955
721.564000 36.715344 77.543595
721.121800 36.721531 77.562976
720.679600 36.715787 77.585891
720.237300 36.697766 77.599445
719.794900 36.666756 77.632722
719.352400 36.682507 77.645603
718.909700 36.662892 77.660992
718.467000 36.651828 77.675461
718.024200 36.696376 77.672102
717.581300 36.675903 77.680447
717.138300 36.656750 77.689983
716.695200 36.653219 77.701562
716.252000 36.658609 77.709204
715.808700 36.667060 77.699085
715.365300 36.674445 77.701273
714.921800 36.664765 77.726942
714.478200 36.670451 77.733803
714.034500 36.691281 77.728147
713.590700 36.718690 77.740263
713.146900 36.674910 77.740299
