Source : SiO2_2mm_muestra2.M1.12h 02mn 31s.spe
Spectrum : 1

Wavelength	Psi	Delta
870.9620	12.150	111.692
870.5521	10.776	122.972
870.1422	10.730	122.303
869.7321	14.667	111.565
869.3219	17.502	106.246
868.9117	19.381	100.277
868.5013	19.354	96.986
868.0909	19.774	94.536
867.6805	20.749	95.067
867.2699	21.932	94.470
866.8592	22.172	92.863
866.4485	20.131	90.246
866.0376	20.628	86.646
865.6267	20.060	89.372
865.2157	19.637	90.777
864.8046	21.013	91.657
864.3934	20.801	92.873
863.9821	22.780	96.111
863.5707	20.754	94.355
863.1593	16.749	93.278
862.7477	17.236	88.877
862.3361	16.906	85.068
861.9244	18.340	82.464
861.5126	18.139	84.854
861.1008	15.776	85.799
860.6888	14.977	86.930
860.2767	15.061	85.368
859.8646	17.208	85.226
859.4523	15.108	84.964
859.0400	16.145	84.361
858.6276	16.115	83.995
858.2151	18.861	83.744
857.8026	24.291	85.410
857.3899	26.477	85.600
856.9771	27.313	85.437
856.5643	27.713	84.711
856.1514	29.659	84.541
855.7383	30.261	84.304
855.3253	31.586	84.285
854.9120	31.355	83.826
854.4988	29.153	82.431
854.0854	29.350	82.251
853.6719	29.847	82.555
853.2584	28.283	81.720
852.8448	28.178	81.222
852.4311	27.852	80.228
852.0173	30.119	80.701
851.6034	30.204	79.687
851.1894	31.163	79.638
850.7753	31.844	80.288
850.3612	30.331	78.644
849.9470	31.318	78.691
849.5326	32.913	79.434
849.1182	34.056	79.594
848.7037	34.474	79.295
848.2891	33.712	78.973
847.8744	33.971	78.243
847.4597	34.132	78.136
847.0448	34.284	77.619
846.6298	34.391	77.349
846.2148	34.441	77.115
845.7997	34.532	76.846
845.3845	34.819	76.779
844.9692	35.305	76.610
844.5538	36.203	76.358
844.1383	36.052	76.149
843.7227	35.901	76.191
843.3071	36.095	76.025
842.8914	36.496	75.946
842.4755	36.701	75.886
842.0596	37.393	76.088
841.6436	37.687	76.080
841.2275	37.680	76.002
840.8113	38.291	76.020
840.3951	38.952	75.861
839.9787	39.709	75.963
839.5623	39.999	75.724
839.1457	41.147	75.642
838.7291	42.012	75.615
838.3124	42.553	75.583
837.8956	42.976	75.440
837.4787	43.269	75.374
837.0617	43.841	75.292
