Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
615.3810	11.211	165.551
614.9153	11.218	165.552
614.4492	11.224	165.553
613.9833	11.230	165.554
613.5172	11.237	165.556
613.0510	11.243	165.558
612.5847	11.250	165.560
612.1182	11.256	165.562
611.6516	11.263	165.564
611.1850	11.269	165.566
610.7183	11.276	165.569
610.2514	11.283	165.572
609.7844	11.289	165.575
609.3173	11.296	165.578
608.8502	11.303	165.582
608.3829	11.309	165.585
607.9156	11.316	165.588
607.4480	11.323	165.592
606.9804	11.330	165.595
606.5127	11.337	165.599
606.0449	11.343	165.602
605.5770	11.350	165.606
605.1089	11.357	165.610
604.6408	11.364	165.614
604.1726	11.371	165.617
603.7042	11.378	165.621
603.2358	11.385	165.625
602.7673	11.392	165.629
602.2986	11.399	165.633
601.8298	11.406	165.637
601.3610	11.413	165.642
600.8920	11.420	165.646
600.4229	11.428	165.650
599.9537	11.435	165.655
599.4844	11.442	165.659
599.0150	11.449	165.664
598.5455	11.456	165.667
598.0759	11.463	165.670
597.6062	11.471	165.674
597.1364	11.478	165.677
596.6664	11.485	165.681
596.1964	11.492	165.685
595.7263	11.500	165.687
595.2560	11.507	165.690
594.7857	11.514	165.692
594.3152	11.521	165.695
593.8447	11.529	165.698
593.3741	11.536	165.701
592.9032	11.543	165.704
592.4323	11.551	165.707
591.9613	11.558	165.710
591.4902	11.565	165.713
591.0190	11.573	165.717
590.5477	11.580	165.720
590.0763	11.587	165.727
589.6048	11.595	165.734
589.1331	11.602	165.742
588.6614	11.610	165.750
588.1896	11.617	165.758
587.7176	11.625	165.766
587.2455	11.633	165.774
586.7734	11.640	165.782
586.3011	11.648	165.790
585.8287	11.656	165.799
585.3563	11.664	165.807
584.8837	11.671	165.816
584.4109	11.679	165.823
583.9382	11.688	165.831
583.4652	11.696	165.838
582.9922	11.704	165.846
582.5191	11.713	165.853
582.0458	11.721	165.861
581.5725	11.730	165.867
581.0991	11.739	165.873
580.6255	11.748	165.879
580.1519	11.756	165.885
579.6780	11.765	165.891
579.2042	11.774	165.898
578.7303	11.783	165.904
578.2561	11.792	165.911
577.7819	11.801	165.917
577.3076	11.810	165.924
576.8332	11.819	165.930
576.3586	11.829	165.936
575.8840	11.839	165.940
575.4093	11.848	165.945
574.9344	11.858	165.949
574.4595	11.868	165.954
573.9844	11.878	165.959
573.5092	11.888	165.963
573.0339	11.897	165.968
572.5586	11.907	165.973
572.0831	11.917	165.978
571.6075	11.927	165.983
571.1318	11.937	165.989
570.6559	11.947	165.996
570.1801	11.957	166.004
569.7040	11.966	166.011
569.2278	11.976	166.019
568.7516	11.986	166.027
568.2753	11.996	166.037
567.7989	12.005	166.047
567.3222	12.015	166.057
566.8455	12.025	166.068
566.3687	12.035	166.078
565.8918	12.045	166.089
565.4149	12.054	166.100
564.9377	12.064	166.111
564.4605	12.074	166.122
563.9832	12.085	166.133
563.5057	12.095	166.143
563.0282	12.106	166.147
562.5505	12.116	166.152
562.0728	12.127	166.156
561.5948	12.138	166.160
561.1169	12.149	166.164
560.6388	12.160	166.169
