Source : TiO2_Si_Sputtering_50min_sincinta.Y1.13h 57mn 08s
Spectrum : 1

Wavelength	Psi	Delta
675.5070	9.366	165.039
675.0547	9.370	165.033
674.6022	9.371	165.032
674.1497	9.374	165.036
673.6971	9.376	165.031
673.2443	9.380	165.038
672.7915	9.382	165.035
672.3386	9.384	165.029
671.8855	9.387	165.022
671.4324	9.390	165.020
670.9791	9.393	165.011
670.5258	9.397	165.010
670.0723	9.400	165.000
669.6188	9.403	164.995
669.1651	9.404	164.996
668.7114	9.409	164.998
668.2575	9.412	165.014
667.8035	9.415	165.014
667.3495	9.419	164.997
666.8953	9.422	165.000
666.4411	9.426	164.993
665.9868	9.428	165.005
665.5323	9.431	165.002
665.0777	9.436	164.987
664.6230	9.439	164.966
664.1683	9.444	164.965
663.7134	9.447	164.969
663.2584	9.449	164.968
662.8034	9.452	164.954
662.3482	9.455	164.943
661.8929	9.457	164.943
661.4376	9.460	164.951
660.9821	9.462	164.951
660.5265	9.464	164.944
660.0708	9.466	164.941
659.6151	9.472	164.934
659.1592	9.476	164.929
658.7032	9.482	164.923
658.2471	9.486	164.918
657.7909	9.489	164.919
657.3346	9.494	164.918
656.8782	9.498	164.926
656.4218	9.502	164.917
655.9651	9.508	164.917
655.5084	9.512	164.909
655.0516	9.514	164.916
654.5947	9.518	164.918
654.1377	9.522	164.923
653.6806	9.525	164.919
653.2234	9.531	164.917
652.7661	9.535	164.922
652.3087	9.537	164.924
651.8511	9.541	164.926
651.3936	9.544	164.932
650.9358	9.550	164.936
650.4780	9.555	164.940
650.0201	9.562	164.934
649.5620	9.566	164.942
649.1039	9.571	164.940
648.6457	9.574	164.930
648.1873	9.580	164.932
647.7289	9.585	164.938
647.2703	9.591	164.942
646.8117	9.595	164.934
646.3530	9.599	164.938
645.8941	9.601	164.938
645.4351	9.608	164.924
644.9761	9.612	164.929
644.5169	9.616	164.923
644.0577	9.622	164.909
643.5983	9.625	164.916
643.1389	9.631	164.908
642.6793	9.633	164.912
642.2196	9.636	164.913
641.7598	9.641	164.917
641.2999	9.647	164.910
640.8400	9.654	164.908
640.3799	9.656	164.911
639.9197	9.662	164.905
639.4594	9.666	164.907
638.9990	9.669	164.893
638.5385	9.674	164.890
638.0779	9.676	164.890
637.6172	9.679	164.884
637.1564	9.684	164.885
636.6954	9.689	164.881
636.2344	9.693	164.871
635.7733	9.695	164.863
635.3121	9.696	164.857
634.8508	9.702	164.858
634.3893	9.706	164.858
633.9278	9.716	164.858
633.4662	9.726	164.850
633.0044	9.732	164.852
632.5425	9.735	164.853
632.0806	9.737	164.862
631.6186	9.734	164.870
631.1564	9.739	164.869
630.6942	9.737	164.850
630.2318	9.736	164.836
629.7693	9.732	164.828
629.3068	9.737	164.824
628.8441	9.734	164.820
628.3813	9.745	164.811
627.9184	9.752	164.809
627.4554	9.764	164.818
626.9923	9.768	164.802
626.5291	9.764	164.817
626.0658	9.763	164.815
625.6024	9.765	164.822
625.1389	9.768	164.863
624.6753	9.775	164.879
624.2115	9.771	164.916
623.7477	9.771	164.943
623.2838	9.788	164.972
622.8198	9.794	164.978
622.3557	9.794	164.896
621.8914	9.795	164.819
621.4271	9.793	164.738
620.9626	9.787	164.628
620.4980	9.771	164.530
620.0334	9.771	164.425
619.5687	9.777	164.323
619.1038	9.771	164.250
618.6388	9.763	164.166
618.1737	9.763	164.093
617.7086	9.755	164.008
617.2433	9.748	163.935
616.7779	9.746	163.861
616.3124	9.741	163.811
615.8468	9.732	163.763
615.3810	9.730	163.705
614.9153	9.720	163.648
614.4492	9.712	163.601
613.9833	9.707	163.567
613.5172	9.704	163.527
613.0510	9.704	163.483
612.5847	9.702	163.452
612.1182	9.702	163.422
611.6516	9.700	163.407
611.1850	9.700	163.390
610.7183	9.699	163.380
610.2514	9.700	163.360
609.7844	9.700	163.341
609.3173	9.702	163.337
608.8502	9.707	163.333
608.3829	9.709	163.353
607.9156	9.716	163.357
607.4480	9.723	163.369
606.9804	9.729	163.399
606.5127	9.739	163.411
606.0449	9.746	163.435
605.5770	9.754	163.461
605.1089	9.765	163.483
604.6408	9.774	163.518
604.1726	9.788	163.547
603.7042	9.804	163.588
603.2358	9.817	163.628
602.7673	9.830	163.672
602.2986	9.842	163.715
601.8298	9.856	163.761
601.3610	9.871	163.811
600.8920	9.886	163.859
600.4229	9.901	163.916
599.9537	9.917	163.975
599.4844	9.935	164.031
599.0150	9.954	164.104
598.5455	9.971	164.169
598.0759	9.989	164.225
597.6062	10.006	164.294
597.1364	10.026	164.369
596.6664	10.050	164.442
596.1964	10.070	164.519
595.7263	10.092	164.590
595.2560	10.109	164.664
594.7857	10.123	164.735
594.3152	10.139	164.815
593.8447	10.157	164.883
593.3741	10.177	164.943
592.9032	10.203	165.003
592.4323	10.225	165.064
591.9613	10.253	165.150
591.4902	10.278	165.225
591.0190	10.311	165.290
590.5477	10.332	165.365
590.0763	10.364	165.426
589.6048	10.380	165.489
589.1331	10.400	165.551
588.6614	10.410	165.592
588.1896	10.427	165.653
587.7176	10.451	165.688
587.2455	10.475	165.730
586.7734	10.494	165.743
586.3011	10.508	165.714
585.8287	10.516	165.686
585.3563	10.537	165.623
584.8837	10.555	165.557
584.4109	10.551	165.454
583.9382	10.556	165.354
583.4652	10.567	165.323
582.9922	10.575	165.291
582.5191	10.583	165.257
582.0458	10.594	165.244
581.5725	10.612	165.228
581.0991	10.617	165.217
580.6255	10.615	165.223
580.1519	10.622	165.204
579.6780	10.633	165.198
579.2042	10.635	165.183
578.7303	10.645	165.184
578.2561	10.652	165.183
577.7819	10.656	165.180
577.3076	10.660	165.170
576.8332	10.672	165.153
576.3586	10.676	165.150
575.8840	10.688	165.148
575.4093	10.700	165.152
574.9344	10.711	165.140
574.4595	10.719	165.140
573.9844	10.726	165.137
573.5092	10.735	165.129
573.0339	10.743	165.123
572.5586	10.752	165.115
572.0831	10.761	165.118
571.6075	10.773	165.107
571.1318	10.784	165.113
570.6559	10.796	165.112
570.1801	10.808	165.108
569.7040	10.816	165.114
569.2278	10.828	165.108
568.7516	10.838	165.113
568.2753	10.850	165.122
567.7989	10.860	165.113
567.3222	10.868	165.115
566.8455	10.879	165.118
566.3687	10.889	165.117
565.8918	10.900	165.120
565.4149	10.912	165.122
564.9377	10.920	165.130
564.4605	10.929	165.128
563.9832	10.937	165.124
563.5057	10.944	165.122
563.0282	10.953	165.126
562.5505	10.965	165.124
562.0728	10.973	165.131
561.5948	10.983	165.135
561.1169	10.993	165.136
560.6388	11.002	165.135
560.1606	11.011	165.142
559.6823	11.020	165.133
559.2039	11.029	165.130
558.7253	11.038	165.136
558.2467	11.050	165.141
557.7679	11.061	165.146
557.2891	11.071	165.147
556.8102	11.079	165.151
556.3311	11.090	165.158
555.8519	11.099	165.167
555.3726	11.109	165.174
