#Lam(nm)  R%(0-100)  T%(0-100)
829.323  5.033  94.859  
830.827  5.065  94.827  
832.331  5.096  94.797  
833.835  5.129  94.765  
835.338  5.160  94.733  
836.842  5.191  94.703  
838.346  5.224  94.670  
839.850  5.255  94.639  
841.353  5.287  94.607  
842.857  5.322  94.573  
844.361  5.355  94.540  
845.865  5.390  94.505  
847.368  5.424  94.472  
848.872  5.458  94.438  
850.376  5.493  94.403  
851.880  5.527  94.370  
853.383  5.561  94.336  
854.887  5.596  94.301  
856.391  5.630  94.268  
857.895  5.666  94.232  
859.398  5.701  94.199  
860.902  5.735  94.165  
862.406  5.771  94.129  
863.910  5.805  94.096  
865.414  5.841  94.061  
866.917  5.876  94.026  
868.421  5.909  93.993  
869.925  5.943  93.959  
871.429  5.979  93.924  
872.932  6.013  93.890  
874.436  6.047  93.856  
875.940  6.083  93.820  
877.444  6.121  93.783  
878.947  6.159  93.746  
880.451  6.198  93.706  
881.955  6.235  93.669  
883.459  6.274  93.630  
884.962  6.312  93.594  
886.466  6.343  93.563  
887.970  6.371  93.535  
889.474  6.401  93.506  
890.977  6.428  93.479  
892.481  6.457  93.451  
893.985  6.486  93.422  
895.489  6.513  93.396  
896.992  6.540  93.369  
898.496  6.570  93.340  
900.000  6.596  93.314  
