#Lam(nm)  R%(0-100)  T%(0-100)
832.331  0.270  99.617  
833.835  0.280  99.608  
835.338  0.290  99.598  
836.842  0.300  99.588  
838.346  0.311  99.577  
839.850  0.322  99.567  
841.353  0.333  99.556  
842.857  0.346  99.543  
844.361  0.358  99.532  
845.865  0.371  99.519  
847.368  0.384  99.506  
848.872  0.397  99.493  
850.376  0.412  99.479  
851.880  0.426  99.465  
853.383  0.441  99.450  
854.887  0.456  99.436  
856.391  0.472  99.421  
857.895  0.488  99.405  
859.398  0.504  99.389  
860.902  0.521  99.374  
862.406  0.539  99.356  
863.910  0.556  99.340  
865.414  0.574  99.322  
866.917  0.592  99.304  
868.421  0.611  99.286  
869.925  0.629  99.268  
871.429  0.650  99.248  
872.932  0.669  99.229  
874.436  0.689  99.209  
875.940  0.710  99.188  
877.444  0.732  99.167  
878.947  0.754  99.145  
880.451  0.777  99.121  
881.955  0.800  99.099  
883.459  0.824  99.075  
884.962  0.848  99.052  
886.466  0.872  99.028  
887.970  0.897  99.003  
889.474  0.924  98.977  
890.977  0.950  98.952  
892.481  0.976  98.926  
893.985  1.003  98.900  
895.489  1.030  98.873  
896.992  1.057  98.847  
898.496  1.085  98.819  
900.000  1.113  98.792  
