# lams, desv_psi, desv_delta
821.991000 0.154971 2.057250
821.570700 0.155502 2.048953
821.150300 0.157595 2.051861
820.729900 0.157086 2.054651
820.309300 0.157306 2.056802
819.888600 0.158004 2.063353
819.467900 0.159067 2.059880
819.047100 0.156107 2.057698
818.626200 0.159205 2.066965
818.205100 0.159205 2.067743
817.784100 0.164366 2.058879
817.362900 0.164228 2.056229
816.941600 0.160176 2.058268
816.520200 0.158786 2.060151
816.098800 0.160818 2.063550
815.677200 0.162174 2.052971
815.255600 0.158576 2.044786
814.833800 0.161233 2.041829
814.412000 0.160782 2.024082
813.990100 0.160550 2.025246
813.568100 0.163918 2.019168
813.146000 0.164912 2.018263
812.723800 0.165968 2.020203
812.301500 0.165968 2.022040
811.879200 0.171292 2.015119
811.456700 0.168669 2.008096
811.034100 0.171467 1.999500
810.611500 0.171709 1.991375
810.188800 0.176270 1.992057
809.765900 0.184611 2.007387
809.343000 0.188553 2.006268
808.920000 0.189642 1.994686
808.496900 0.186130 1.987361
808.073700 0.189217 1.994711
807.650500 0.189217 1.994012
807.227100 0.188429 1.991446
806.803600 0.188150 1.983652
806.380100 0.190284 1.980420
805.956400 0.192682 1.974611
805.532700 0.194548 1.963232
805.108900 0.195510 1.951197
804.685000 0.196021 1.942583
804.261000 0.201510 1.942736
803.836900 0.202001 1.935930
803.412700 0.206003 1.939142
802.988400 0.209572 1.938280
802.564000 0.214621 1.932942
802.139600 0.216640 1.930698
801.715000 0.212113 1.916328
801.290300 0.218306 1.917949
800.865700 0.226460 1.923658
800.440800 0.229012 1.923917
800.015900 0.231525 1.918938
799.590900 0.235771 1.918361
799.165800 0.239953 1.912650
798.740600 0.241421 1.917589
798.315300 0.247500 1.916758
797.889900 0.252953 1.918946
797.464400 0.255942 1.919664
797.038900 0.260308 1.915088
796.613200 0.260354 1.913915
796.187500 0.261781 1.904903
795.761700 0.261826 1.907597
795.335700 0.265385 1.904962
794.909700 0.266335 1.903323
794.483600 0.270415 1.903500
794.057400 0.273551 1.904670
793.631000 0.275457 1.907083
793.204700 0.275703 1.906840
792.778200 0.277506 1.907479
792.351600 0.280431 1.907070
791.924900 0.282420 1.904672
791.498200 0.285932 1.900407
791.071400 0.292428 1.895901
790.644400 0.295358 1.891096
790.217300 0.301737 1.892030
789.790200 0.305248 1.889571
789.363000 0.309165 1.890332
788.935700 0.312149 1.893378
788.508300 0.314023 1.895967
788.080700 0.317831 1.904106
787.653200 0.321404 1.902747
787.225500 0.325199 1.899867
786.797700 0.328242 1.896935
786.369900 0.330891 1.893533
785.941900 0.334823 1.892736
785.513900 0.340178 1.894514
785.085700 0.342220 1.893518
784.657500 0.343939 1.889588
784.229100 0.347846 1.886866
783.800700 0.353793 1.885500
783.372200 0.358302 1.884571
782.943500 0.361738 1.877749
782.514800 0.361374 1.875386
782.086100 0.361934 1.871520
781.657200 0.365287 1.870202
781.228200 0.368397 1.862535
780.799100 0.371792 1.856316
780.369900 0.374748 1.854040
779.940700 0.379222 1.851432
779.511300 0.384765 1.850935
779.081800 0.388042 1.851725
778.652300 0.393519 1.849462
778.222700 0.396917 1.853583
777.793000 0.399401 1.850503
777.363200 0.404858 1.847692
776.933200 0.411415 1.846560
776.503200 0.415898 1.846649
776.073100 0.421892 1.847725
775.642900 0.429449 1.851236
775.212600 0.434470 1.851236
774.782200 0.439978 1.849676
774.351700 0.440807 1.836583
773.921200 0.442874 1.831093
773.490500 0.445971 1.831217
773.059800 0.451355 1.832117
772.628900 0.452799 1.827663
772.198000 0.460794 1.825102
771.766900 0.464666 1.816561
771.335800 0.471712 1.813004
770.904600 0.478184 1.812664
770.473300 0.483761 1.807320
770.041900 0.490306 1.801426
769.610400 0.495834 1.800089
769.178700 0.504318 1.799864
768.747100 0.511313 1.794571
768.315200 0.517762 1.795311
767.883400 0.523759 1.792364
767.451400 0.527674 1.786249
767.019300 0.531166 1.780832
766.587200 0.535702 1.774217
766.154900 0.542700 1.770892
765.722500 0.548668 1.766669
765.290100 0.549627 1.758095
764.857500 0.554146 1.750774
764.424900 0.558251 1.754286
763.992200 0.564232 1.754238
763.559300 0.568247 1.747688
763.126400 0.575211 1.741807
762.693400 0.577688 1.741284
762.260300 0.579687 1.738477
761.827100 0.585138 1.733077
761.393800 0.590597 1.733025
760.960400 0.594607 1.721494
760.526900 0.599111 1.719974
760.093300 0.604146 1.710701
759.659700 0.609185 1.708391
759.225900 0.617227 1.710487
758.792100 0.623195 1.707079
758.358100 0.627701 1.703202
757.924000 0.634658 1.698694
757.489900 0.640632 1.694838
757.055600 0.646655 1.689281
756.621300 0.651641 1.683778
756.186800 0.659158 1.677561
755.752300 0.663133 1.674746
755.317700 0.669143 1.672360
754.883000 0.674625 1.666145
754.448200 0.678584 1.661581
754.013200 0.683141 1.660304
753.578200 0.691189 1.656461
753.143100 0.699137 1.652286
752.707900 0.707104 1.647297
752.272600 0.713084 1.636179
751.837300 0.719059 1.630211
751.401800 0.725066 1.621371
750.966200 0.731562 1.613354
750.530600 0.744081 1.613589
750.094800 0.752553 1.609552
749.658900 0.758560 1.599955
749.223000 0.770552 1.595096
748.786900 0.778545 1.591233
748.350800 0.786533 1.588380
747.914600 0.792515 1.579836
747.478200 0.801503 1.573122
747.041700 0.811010 1.569892
746.605200 0.823506 1.571071
746.168600 0.833001 1.566351
745.731900 0.844010 1.562186
745.295000 0.854001 1.558061
744.858200 0.863002 1.554149
744.421100 0.874500 1.552291
743.984100 0.884500 1.549571
743.546800 0.895500 1.545531
743.109600 0.906001 1.542153
742.672200 0.917504 1.536259
742.234700 0.928004 1.527387
741.797100 0.940500 1.523155
741.359400 0.951500 1.516598
740.921600 0.962504 1.509461
740.483800 0.973507 1.506161
740.045800 0.984020 1.499036
739.607700 0.993014 1.493258
739.169600 1.004530 1.484613
738.731300 1.015047 1.478566
738.293000 1.029562 1.473148
737.854500 1.041612 1.467421
737.416000 1.054172 1.462309
736.977300 1.065132 1.449042
736.538600 1.077644 1.440275
736.099700 1.088727 1.431735
735.660800 1.101680 1.425944
735.221800 1.115264 1.418620
734.782700 1.128273 1.410538
734.343400 1.141365 1.401083
733.904100 1.153406 1.391251
733.464700 1.166448 1.383246
733.025200 1.177053 1.373201
732.585600 1.187630 1.367826
732.145900 1.201661 1.359825
731.706100 1.216730 1.352278
731.266200 1.229722 1.342464
730.826200 1.243795 1.337315
730.386100 1.258316 1.330793
729.945900 1.272859 1.323782
729.505700 1.288424 1.319039
729.065300 1.305035 1.313554
728.624800 1.321579 1.308035
728.184300 1.337685 1.300942
727.743600 1.351796 1.289976
727.302800 1.367044 1.285652
726.861900 1.382138 1.282600
726.421000 1.397291 1.273959
725.979900 1.414357 1.267253
725.538800 1.429941 1.260527
725.097500 1.446040 1.253151
724.656100 1.461657 1.247217
724.214700 1.481754 1.243627
723.773200 1.500918 1.241455
723.331500 1.517641 1.233286
722.889800 1.536297 1.227702
722.447900 1.554511 1.222575
722.006000 1.572139 1.216377
721.564000 1.588883 1.204077
721.121800 1.608550 1.195365
720.679600 1.627105 1.188361
720.237300 1.646813 1.182897
719.794900 1.666964 1.175896
719.352400 1.685600 1.168095
718.909700 1.705632 1.160393
718.467000 1.728537 1.156420
718.024200 1.748169 1.151325
717.581300 1.771395 1.140575
717.138300 1.794105 1.133132
716.695200 1.814697 1.121901
716.252000 1.834770 1.113918
715.808700 1.857399 1.107462
715.365300 1.880590 1.099036
714.921800 1.905344 1.093180
714.478200 1.930967 1.087916
714.034500 1.954119 1.080116
713.590700 1.976885 1.072018
713.146900 2.003120 1.066432
712.702800 2.026230 1.057812
712.258800 2.051946 1.052901
711.814600 2.079045 1.043627
711.370300 2.107615 1.037735
710.925900 2.134531 1.032716
710.481400 2.161063 1.026390
710.036900 2.188116 1.019520
709.592200 2.217253 1.013856
709.147400 2.243581 1.005715
708.702600 2.273762 1.000500
708.257600 2.304326 0.995289
707.812500 2.335121 0.988912
707.367400 2.366113 0.979801
706.922100 2.397338 0.973145
706.476700 2.427948 0.963931
706.031300 2.459174 0.957902
705.585700 2.492869 0.950908
705.140100 2.524523 0.943211
704.694300 2.554611 0.933455
704.248400 2.590252 0.928592
703.802500 2.624896 0.923177
703.356400 2.660015 0.916791
702.910300 2.695373 0.910264
702.464100 2.729544 0.905548
702.017700 2.764759 0.896815
701.571200 2.802539 0.892960
701.124700 2.837854 0.885648
700.678000 2.875962 0.876680
700.231300 2.912798 0.871587
699.784400 2.952524 0.865583
699.337500 2.993246 0.859823
698.890400 3.031706 0.852122
698.443300 3.070961 0.847337
697.996100 3.109898 0.841566
697.548800 3.154394 0.839888
697.101300 3.197008 0.838237
696.653700 3.238944 0.833613
696.206100 3.281299 0.831265
695.758400 3.326063 0.825927
695.310500 3.369053 0.819640
694.862600 3.412986 0.814893
694.414600 3.461125 0.814514
693.966400 3.507054 0.810556
693.518200 3.552741 0.809084
693.069900 3.599727 0.807640
692.621500 3.648235 0.805490
692.172900 3.695809 0.801216
691.724300 3.746838 0.799391
691.275600 3.796703 0.799544
690.826700 3.848446 0.799789
690.377800 3.899544 0.799076
689.928800 3.953812 0.800682
689.479700 4.007432 0.798793
689.030400 4.061583 0.797347
688.581100 4.116544 0.798941
688.131700 4.174737 0.799635
687.682100 4.232997 0.799649
687.232500 4.289864 0.798927
686.782800 4.348932 0.797486
686.332900 4.407535 0.797781
685.883000 4.467198 0.795787
685.433000 4.526733 0.797584
684.982800 4.587327 0.796025
684.532700 4.651830 0.801804
684.082300 4.716268 0.806986
683.631900 4.778916 0.809838
683.181300 4.844015 0.812522
682.730700 4.908322 0.815279
682.280000 4.973623 0.818245
681.829200 5.041173 0.819183
681.378200 5.108325 0.823601
680.927200 5.176405 0.826888
680.476100 5.247930 0.833927
680.024800 5.318726 0.840143
679.573500 5.388794 0.849292
679.122100 5.461776 0.856998
678.670500 5.537208 0.867626
678.218900 5.611050 0.878246
677.767200 5.686814 0.890088
677.315400 5.762114 0.899887
676.863400 5.837149 0.914012
676.411400 5.915628 0.925227
675.959200 5.994439 0.938208
675.507000 6.074375 0.954075
675.054700 6.155108 0.968216
674.602200 6.236039 0.987564
674.149700 6.315910 1.010375
673.697100 6.398233 1.031457
673.244300 6.480817 1.058598
672.791500 6.562342 1.082304
672.338600 6.643542 1.110006
671.885500 6.727390 1.137131
671.432400 6.810579 1.166290
670.979100 6.892776 1.199500
670.525800 6.974190 1.229815
670.072300 7.055332 1.264454
669.618800 7.136753 1.297078
669.165100 7.225046 1.338636
668.711400 7.309516 1.382505
668.257500 7.393182 1.428400
667.803500 7.475607 1.473711
667.349500 7.556611 1.522771
666.895300 7.643978 1.583962
666.441100 7.731162 1.645737
665.986800 7.815831 1.714153
665.532300 7.899264 1.786610
665.077700 7.985397 1.867441
664.623000 8.072227 1.955200
664.168300 8.155669 2.045274
