Source : TiO2_Si_SP_muestra2.D2.10h 45mn 30s
Spectrum : 1

Wavelength	Psi	Delta
600.8920	17.512	68.667
600.4229	17.535	68.652
599.9537	17.560	68.640
599.4844	17.589	68.630
599.0150	17.620	68.628
598.5455	17.645	68.610
598.0759	17.674	68.596
597.6062	17.699	68.593
597.1364	17.730	68.595
596.6664	17.764	68.593
596.1964	17.795	68.595
595.7263	17.827	68.595
595.2560	17.850	68.603
594.7857	17.873	68.605
594.3152	17.898	68.598
593.8447	17.927	68.595
593.3741	17.954	68.588
592.9032	17.988	68.581
592.4323	18.018	68.568
591.9613	18.054	68.562
591.4902	18.092	68.552
591.0190	18.137	68.537
590.5477	18.166	68.519
590.0763	18.212	68.503
589.6048	18.232	68.482
589.1331	18.258	68.463
588.6614	18.273	68.415
588.1896	18.302	68.382
587.7176	18.338	68.343
587.2455	18.374	68.288
586.7734	18.403	68.220
586.3011	18.425	68.106
585.8287	18.437	67.998
585.3563	18.469	67.864
584.8837	18.497	67.718
584.4109	18.497	67.540
583.9382	18.506	67.366
583.4652	18.528	67.251
582.9922	18.548	67.133
582.5191	18.565	67.027
582.0458	18.589	66.940
581.5725	18.617	66.855
581.0991	18.630	66.763
580.6255	18.625	66.693
580.1519	18.637	66.606
579.6780	18.656	66.510
579.2042	18.661	66.430
578.7303	18.679	66.343
578.2561	18.691	66.270
577.7819	18.695	66.192
577.3076	18.703	66.109
576.8332	18.725	66.018
576.3586	18.733	65.939
575.8840	18.755	65.860
575.4093	18.773	65.776
574.9344	18.790	65.689
574.4595	18.808	65.612
573.9844	18.820	65.532
573.5092	18.833	65.443
573.0339	18.848	65.356
572.5586	18.861	65.271
572.0831	18.878	65.191
571.6075	18.896	65.106
571.1318	18.915	65.028
570.6559	18.933	64.954
570.1801	18.951	64.877
569.7040	18.962	64.802
569.2278	18.983	64.723
568.7516	18.999	64.648
568.2753	19.014	64.570
567.7989	19.032	64.486
567.3222	19.047	64.405
566.8455	19.064	64.323
566.3687	19.080	64.241
565.8918	19.097	64.168
565.4149	19.116	64.093
564.9377	19.130	64.015
564.4605	19.145	63.933
563.9832	19.157	63.840
563.5057	19.171	63.751
563.0282	19.185	63.668
562.5505	19.201	63.582
562.0728	19.215	63.498
561.5948	19.231	63.411
561.1169	19.247	63.321
560.6388	19.262	63.228
560.1606	19.278	63.140
559.6823	19.291	63.048
559.2039	19.305	62.960
558.7253	19.319	62.874
558.2467	19.336	62.785
557.7679	19.351	62.697
557.2891	19.368	62.608
556.8102	19.381	62.522
556.3311	19.396	62.435
555.8519	19.415	62.350
555.3726	19.428	62.259
554.8932	19.442	62.164
554.4137	19.454	62.068
553.9341	19.466	61.978
553.4543	19.480	61.889
552.9745	19.491	61.791
552.4946	19.504	61.699
552.0145	19.515	61.614
551.5345	19.529	61.516
551.0541	19.541	61.432
550.5737	19.554	61.339
550.0933	19.568	61.247
549.6126	19.581	61.152
549.1320	19.593	61.062
548.6511	19.605	60.961
548.1702	19.618	60.861
547.6891	19.630	60.762
547.2080	19.643	60.670
546.7267	19.657	60.582
546.2454	19.670	60.490
545.7639	19.682	60.399
545.2823	19.694	60.308
544.8007	19.705	60.206
544.3188	19.717	60.105
543.8369	19.729	60.016
543.3549	19.739	59.913
542.8728	19.747	59.815
542.3905	19.757	59.718
541.9082	19.770	59.615
541.4257	19.781	59.519
540.9431	19.790	59.421
540.4604	19.800	59.325
539.9777	19.815	59.234
539.4948	19.826	59.132
539.0118	19.839	59.029
538.5286	19.851	58.932
538.0454	19.862	58.840
537.5621	19.874	58.739
537.0786	19.885	58.640
536.5950	19.898	58.542
536.1114	19.909	58.448
535.6276	19.921	58.352
535.1437	19.934	58.255
534.6597	19.948	58.160
534.1756	19.960	58.059
533.6913	19.970	57.959
533.2070	19.985	57.867
532.7226	20.004	57.778
532.2380	20.018	57.673
531.7534	20.034	57.576
531.2686	20.049	57.482
530.7837	20.067	57.382
530.2987	20.084	57.275
529.8136	20.103	57.170
529.3284	20.120	57.069
528.8430	20.136	56.967
528.3576	20.158	56.863
527.8720	20.174	56.756
527.3864	20.190	56.642
526.9006	20.211	56.542
526.4147	20.233	56.438
525.9287	20.253	56.330
525.4426	20.274	56.225
524.9564	20.293	56.113
524.4700	20.314	56.005
523.9836	20.340	55.906
523.4971	20.365	55.795
523.0104	20.389	55.688
522.5236	20.416	55.585
522.0367	20.443	55.475
521.5497	20.468	55.363
521.0626	20.492	55.264
520.5754	20.522	55.161
520.0881	20.550	55.051
519.6006	20.580	54.949
519.1131	20.608	54.841
518.6254	20.637	54.735
518.1377	20.664	54.630
517.6498	20.693	54.513
517.1618	20.714	54.409
516.6737	20.739	54.307
516.1855	20.766	54.190
515.6971	20.793	54.069
515.2087	20.820	53.948
514.7202	20.848	53.842
514.2314	20.878	53.735
513.7427	20.905	53.620
513.2538	20.939	53.498
512.7648	20.965	53.380
512.2757	20.991	53.260
511.7864	21.027	53.133
511.2971	21.057	53.008
510.8076	21.089	52.885
510.3181	21.115	52.756
509.8284	21.134	52.632
509.3386	21.156	52.511
508.8488	21.188	52.380
508.3587	21.218	52.253
507.8686	21.245	52.129
507.3784	21.273	52.001
506.8880	21.294	51.868
506.3976	21.321	51.727
505.9070	21.341	51.594
505.4163	21.373	51.457
504.9255	21.405	51.313
504.4346	21.431	51.170
503.9436	21.455	51.039
503.4525	21.474	50.889
502.9612	21.501	50.742
502.4698	21.527	50.598
501.9784	21.551	50.453
501.4868	21.575	50.304
500.9951	21.601	50.156
500.5033	21.631	49.994
500.0114	21.659	49.838
499.5193	21.687	49.674
499.0272	21.713	49.519
498.5349	21.738	49.361
498.0426	21.763	49.207
497.5501	21.790	49.043
497.0575	21.821	48.874
496.5648	21.850	48.699
496.0720	21.875	48.531
495.5790	21.900	48.366
495.0860	21.928	48.187
494.5928	21.952	48.020
494.0995	21.978	47.844
493.6062	22.007	47.669
493.1127	22.035	47.505
492.6190	22.066	47.319
492.1253	22.096	47.134
491.6315	22.123	46.961
491.1375	22.150	46.786
490.6435	22.183	46.600
490.1493	22.214	46.416
489.6550	22.242	46.238
489.1606	22.271	46.057
488.6661	22.301	45.872
488.1714	22.337	45.681
487.6767	22.366	45.491
487.1818	22.398	45.306
486.6869	22.430	45.128
486.1918	22.463	44.941
