## SPECTRUM TYPE:
LCE

## DATE:
08/07/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:13:48

# END TIME:
11:13:48

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
973.5363 14.138 61.792 0.14869 0.27722 0.027 0.58483 8.0000 5.47 0.6564 0.6827 1.273545 
973.1475 15.899 68.861 0.08228 0.21280 -2.522 0.36801 8.0000 5.38 0.5340 0.5529 1.274053 
972.7586 10.085 114.190 -0.04292 0.09556 -1.261 0.28519 8.0000 5.42 0.5217 0.5516 1.274563 
972.3697 14.689 118.295 -0.05193 0.09646 -0.488 0.19459 8.0000 5.44 0.5128 0.5442 1.275073 
971.9807 41.240 97.140 -0.01856 0.14816 -0.261 0.01971 8.0000 5.48 0.5108 0.5443 1.275583 
971.5916 60.340 78.919 0.04279 0.21847 -0.432 -0.13208 8.0000 5.44 0.5679 0.5978 1.276094 
971.2024 67.455 64.924 0.10274 0.21956 0.219 -0.24165 8.0000 5.55 0.6918 0.7234 1.276605 
970.8131 77.284 59.906 0.10091 0.17413 0.023 -0.42324 8.0000 5.40 0.7807 0.8043 1.277117 
970.4238 80.680 49.829 0.10400 0.12320 0.007 -0.47799 8.0000 5.38 0.8038 0.8292 1.277629 
970.0344 68.601 341.723 0.52153 -0.17225 0.005 -0.59317 8.0000 5.53 0.8857 0.9497 1.278142 
969.6449 56.373 52.954 0.19779 0.26204 0.004 -0.13765 8.0000 5.52 0.8811 0.9104 1.278656 
969.2553 38.044 92.309 -0.02321 0.57556 0.001 0.14268 8.0000 5.46 1.0424 1.0941 1.279170 
968.8657 31.137 103.145 -0.19195 0.82193 -1.246 0.44361 8.0000 5.46 1.2110 1.3094 1.279684 
968.4760 29.419 109.547 -0.34505 0.97187 0.595 0.62363 8.0000 5.49 1.3455 1.4766 1.280199 
