## SPECTRUM TYPE:
LCE

## DATE:
18/08/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
14:22:18

# END TIME:
14:22:18

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
975.0906 15.169 105.194 -0.10295 0.37909 -1.736 0.67124 8.0000 11.05 0.9699 1.0258 1.271515 
974.7021 14.391 104.155 -0.08871 0.35173 -18.538 0.66033 8.0000 11.24 0.9348 0.9958 1.272021 
974.3136 14.592 105.346 -0.10025 0.36529 1.152 0.67825 8.0000 11.05 0.8526 0.9052 1.272529 
973.9250 14.947 102.597 -0.07617 0.34084 0.029 0.60749 8.0000 11.28 0.7272 0.7710 1.273036 
973.5363 19.218 96.332 -0.04686 0.42233 0.058 0.53543 8.0000 11.33 0.6643 0.7128 1.273545 
973.1475 18.701 106.214 -0.07214 0.24807 -5.454 0.33787 8.0000 11.27 0.5294 0.5447 1.274053 
972.7586 19.119 105.956 -0.06177 0.21605 -2.732 0.28518 8.0000 11.48 0.5238 0.5497 1.274563 
972.3697 24.692 119.297 -0.08260 0.14721 -1.067 0.14476 8.0000 11.61 0.5099 0.5378 1.275073 
971.9807 51.835 126.574 -0.09896 0.13338 -0.609 -0.04039 8.0000 11.64 0.5096 0.5397 1.275583 
971.5916 63.247 113.865 -0.10100 0.22830 -0.826 -0.18470 8.0000 11.67 0.5662 0.5939 1.276094 
971.2024 69.677 104.061 -0.06497 0.25939 0.496 -0.31147 8.0000 11.98 0.6958 0.7216 1.276605 
970.8131 78.509 101.217 -0.04144 0.20896 0.059 -0.50233 8.0000 11.78 0.7859 0.8045 1.277117 
970.4238 81.110 92.829 -0.00855 0.17306 0.020 -0.54031 8.0000 11.86 0.8059 0.8280 1.277629 
970.0344 67.563 14.594 0.75708 0.19713 0.012 -0.78578 8.0000 12.20 0.9772 1.0613 1.278142 
969.6449 57.090 105.393 -0.08906 0.32350 0.009 -0.15066 8.0000 12.17 0.8699 0.9101 1.278656 
969.2553 37.746 145.414 -0.60119 0.41452 0.003 0.18895 8.0000 12.18 1.1950 1.2986 1.279170 
968.8657 32.570 153.554 -0.96373 0.47938 -2.414 0.49871 8.0000 12.22 1.5313 1.7018 1.279684 
968.4760 31.190 158.154 -1.21678 0.48781 1.284 0.68590 8.0000 12.37 1.7576 1.9655 1.280199 
