# TiO2_oxigeno_T1
# Longitud_de_onda[nm]	Indice_refraccion
609.7844	2.182498
609.3173	2.183663
608.8502	2.184831
608.3829	2.186000
607.9155	2.187171
607.4480	2.188345
606.9804	2.189520
606.5127	2.190698
606.0449	2.191877
605.5770	2.193059
605.1089	2.194242
604.6408	2.195428
604.1726	2.196615
603.7042	2.197805
603.2358	2.198997
602.7673	2.200190
602.2986	2.201386
601.8298	2.202584
601.3610	2.203784
600.8920	2.204985
600.4229	2.206189
599.9537	2.207396
599.4844	2.208604
599.0150	2.209814
598.5455	2.211026
598.0759	2.212240
597.6062	2.213456
597.1364	2.214675
596.6664	2.215895
596.1964	2.217118
595.7263	2.218343
595.2560	2.219569
594.7857	2.220798
594.3152	2.222029
593.8447	2.223262
593.3740	2.224497
592.9032	2.225734
592.4323	2.226974
591.9613	2.228215
591.4902	2.229459
591.0190	2.230704
590.5477	2.231952
590.0763	2.233202
589.6048	2.234454
589.1331	2.235708
588.6614	2.236964
588.1896	2.238223
587.7176	2.239483
587.2455	2.240746
586.7734	2.242011
586.3011	2.243278
585.8287	2.244547
585.3563	2.245818
584.8837	2.247091
584.4109	2.248367
583.9382	2.249644
583.4652	2.250924
582.9922	2.252206
582.5191	2.253490
582.0458	2.254776
581.5725	2.256064
581.0991	2.257355
580.6255	2.258648
580.1519	2.259942
579.6780	2.261240
579.2042	2.262539
578.7302	2.263840
578.2561	2.265144
577.7819	2.266450
577.3076	2.267757
576.8332	2.269068
576.3586	2.270380
575.8840	2.271694
575.4093	2.273011
574.9344	2.274330
574.4595	2.275651
573.9844	2.276974
573.5092	2.278300
573.0339	2.279627
572.5586	2.280957
572.0831	2.282289
571.6075	2.283623
571.1318	2.284960
570.6559	2.286298
570.1801	2.287639
569.7040	2.288982
569.2278	2.290328
568.7516	2.291675
568.2753	2.293024
567.7988	2.294376
567.3222	2.295731
566.8455	2.297087
566.3687	2.298446
565.8918	2.299806
565.4149	2.301169
564.9377	2.302535
564.4605	2.303902
563.9832	2.305271
563.5057	2.306644
563.0282	2.308018
562.5505	2.309394
562.0728	2.310772
561.5948	2.312154
561.1169	2.313536
560.6388	2.314922
560.1606	2.316309
559.6823	2.317699
559.2039	2.319091
558.7253	2.320485
558.2467	2.321882
557.7679	2.323281
557.2891	2.324682
556.8102	2.326085
556.3311	2.327490
555.8519	2.328898
555.3726	2.330308
554.8932	2.331720
554.4137	2.333134
553.9341	2.334551
553.4543	2.335970
552.9745	2.337391
552.4946	2.338815
552.0145	2.340240
551.5344	2.341668
551.0541	2.343098
550.5737	2.344531
550.0933	2.345965
549.6127	2.347402
549.1320	2.348841
548.6511	2.350283
548.1702	2.351727
547.6891	2.353173
547.2080	2.354621
546.7267	2.356071
546.2454	2.357524
545.7639	2.358979
545.2823	2.360436
544.8007	2.361895
544.3188	2.363357
543.8369	2.364821
543.3549	2.366287
542.8728	2.367755
542.3905	2.369226
541.9082	2.370699
541.4257	2.372174
540.9431	2.373651
540.4604	2.375131
539.9777	2.376612
539.4948	2.378097
539.0118	2.379583
538.5286	2.381072
538.0454	2.382562
537.5621	2.384055
537.0786	2.385551
536.5950	2.387048
536.1114	2.388548
535.6276	2.390050
535.1437	2.391554
534.6597	2.393060
534.1756	2.394569
533.6913	2.396080
533.2070	2.397593
532.7226	2.399108
532.2380	2.400625
531.7534	2.402145
531.2686	2.403667
530.7837	2.405191
530.2987	2.406717
529.8136	2.408246
529.3284	2.409776
528.8430	2.411310
528.3576	2.412845
527.8720	2.414382
527.3864	2.415921
526.9006	2.417463
526.4147	2.419007
525.9287	2.420553
525.4426	2.422101
524.9564	2.423652
524.4700	2.425204
523.9836	2.426759
523.4971	2.428316
523.0104	2.429875
522.5236	2.431436
522.0367	2.433000
521.5497	2.434565
521.0626	2.436133
520.5754	2.437702
520.0881	2.439274
519.6006	2.440849
519.1131	2.442425
518.6254	2.444003
518.1377	2.445583
517.6498	2.447166
517.1618	2.448750
516.6737	2.450337
516.1855	2.451926
515.6971	2.453517
515.2087	2.455110
514.7202	2.456705
514.2314	2.458302
513.7427	2.459901
513.2538	2.461503
512.7648	2.463106
512.2757	2.464711
511.7864	2.466319
511.2971	2.467929
510.8076	2.469540
510.3181	2.471154
509.8284	2.472769
509.3386	2.474387
508.8488	2.476006
508.3587	2.477628
507.8686	2.479251
