# TiO2_RTP_oxigeno
# Longitud_de_onda[nm]	Indice_refraccion
606.0449	2.183595
605.5770	2.184773
605.1089	2.185953
604.6408	2.187135
604.1726	2.188318
603.7042	2.189504
603.2358	2.190692
602.7673	2.191882
602.2986	2.193074
601.8298	2.194268
601.3610	2.195464
600.8920	2.196662
600.4229	2.197862
599.9537	2.199064
599.4844	2.200268
599.0150	2.201475
598.5455	2.202683
598.0759	2.203893
597.6062	2.205105
597.1364	2.206319
596.6664	2.207536
596.1964	2.208754
595.7263	2.209975
595.2560	2.211197
594.7857	2.212422
594.3152	2.213649
593.8447	2.214877
593.3740	2.216108
592.9032	2.217341
592.4323	2.218576
591.9613	2.219813
591.4902	2.221052
591.0190	2.222294
590.5477	2.223537
590.0763	2.224782
589.6048	2.226030
589.1331	2.227279
588.6614	2.228531
588.1896	2.229785
587.7176	2.231041
587.2455	2.232299
586.7734	2.233559
586.3011	2.234821
585.8287	2.236085
585.3563	2.237351
584.8837	2.238620
584.4109	2.239891
583.9382	2.241163
583.4652	2.242438
582.9922	2.243715
582.5191	2.244994
582.0458	2.246275
581.5725	2.247559
581.0991	2.248844
580.6255	2.250132
580.1519	2.251421
579.6780	2.252714
579.2042	2.254007
578.7302	2.255303
578.2561	2.256602
577.7819	2.257902
577.3076	2.259205
576.8332	2.260509
576.3586	2.261817
575.8840	2.263125
575.4093	2.264437
574.9344	2.265750
574.4595	2.267065
573.9844	2.268383
573.5092	2.269703
573.0339	2.271025
572.5586	2.272349
572.0831	2.273675
571.6075	2.275004
571.1318	2.276334
570.6559	2.277667
570.1801	2.279002
569.7040	2.280339
569.2278	2.281679
568.7516	2.283020
568.2753	2.284363
567.7988	2.285709
567.3222	2.287057
566.8455	2.288408
566.3687	2.289760
565.8918	2.291115
565.4149	2.292471
564.9377	2.293830
564.4605	2.295191
563.9832	2.296554
563.5057	2.297920
563.0282	2.299287
562.5505	2.300657
562.0728	2.302029
561.5948	2.303404
561.1169	2.304780
560.6388	2.306159
560.1606	2.307540
559.6823	2.308922
559.2039	2.310308
558.7253	2.311695
558.2467	2.313085
557.7679	2.314477
557.2891	2.315870
556.8102	2.317266
556.3311	2.318665
555.8519	2.320066
555.3726	2.321468
554.8932	2.322873
554.4137	2.324280
553.9341	2.325690
553.4543	2.327102
552.9745	2.328515
552.4946	2.329931
552.0145	2.331349
551.5344	2.332770
551.0541	2.334192
550.5737	2.335617
550.0933	2.337044
549.6127	2.338473
549.1320	2.339904
548.6511	2.341338
548.1702	2.342774
547.6891	2.344212
547.2080	2.345652
546.7267	2.347094
546.2454	2.348539
545.7639	2.349986
545.2823	2.351435
544.8007	2.352885
544.3188	2.354339
543.8369	2.355795
543.3549	2.357252
542.8728	2.358712
542.3905	2.360174
541.9082	2.361638
