# TiO2_aire_T1-2
# wavelength_nm	indice_refraccion
573.5092	2.200384
573.0339	2.201582
572.5586	2.202782
572.0831	2.203984
571.6075	2.205188
571.1318	2.206394
570.6559	2.207603
570.1801	2.208814
569.7040	2.210027
569.2278	2.211242
568.7516	2.212459
568.2753	2.213679
567.7988	2.214901
567.3222	2.216125
566.8455	2.217351
566.3687	2.218579
565.8918	2.219810
565.4149	2.221042
564.9377	2.222277
564.4605	2.223514
563.9832	2.224753
563.5057	2.225995
563.0282	2.227239
562.5505	2.228485
562.0728	2.229733
561.5948	2.230984
561.1169	2.232236
560.6388	2.233491
560.1606	2.234748
559.6823	2.236007
559.2039	2.237269
558.7253	2.238533
558.2467	2.239799
557.7679	2.241067
557.2891	2.242338
556.8102	2.243610
556.3311	2.244886
555.8519	2.246163
555.3726	2.247443
554.8932	2.248724
554.4137	2.250009
553.9341	2.251295
553.4543	2.252584
552.9745	2.253875
552.4946	2.255168
552.0145	2.256463
551.5344	2.257761
551.0541	2.259061
550.5737	2.260363
550.0933	2.261667
549.6127	2.262974
549.1320	2.264283
548.6511	2.265595
548.1702	2.266909
547.6891	2.268225
547.2080	2.269543
546.7267	2.270864
546.2454	2.272187
545.7639	2.273512
545.2823	2.274839
544.8007	2.276169
544.3188	2.277501
543.8369	2.278836
543.3549	2.280173
542.8728	2.281512
542.3905	2.282853
541.9082	2.284197
541.4257	2.285543
540.9431	2.286891
540.4604	2.288242
539.9777	2.289595
539.4948	2.290950
539.0118	2.292307
538.5286	2.293668
538.0454	2.295030
537.5621	2.296394
537.0786	2.297761
536.5950	2.299131
536.1114	2.300502
535.6276	2.301876
535.1437	2.303252
534.6597	2.304631
534.1756	2.306012
533.6913	2.307395
533.2070	2.308781
532.7226	2.310169
532.2380	2.311559
531.7534	2.312951
531.2686	2.314346
530.7837	2.315744
530.2987	2.317143
529.8136	2.318545
529.3284	2.319950
528.8430	2.321357
528.3576	2.322766
527.8720	2.324177
527.3864	2.325591
526.9006	2.327007
526.4147	2.328425
525.9287	2.329846
525.4426	2.331269
524.9564	2.332695
524.4700	2.334123
523.9836	2.335553
523.4971	2.336985
523.0104	2.338420
522.5236	2.339857
522.0367	2.341297
521.5497	2.342739
521.0626	2.344183
520.5754	2.345629
520.0881	2.347078
519.6006	2.348530
519.1131	2.349983
518.6254	2.351439
518.1377	2.352897
517.6498	2.354358
517.1618	2.355821
516.6737	2.357286
516.1855	2.358754
515.6971	2.360224
515.2087	2.361696
514.7202	2.363171
514.2314	2.364648
513.7427	2.366127
513.2538	2.367609
512.7648	2.369093
512.2757	2.370579
511.7864	2.372068
511.2971	2.373559
510.8076	2.375052
510.3181	2.376547
509.8284	2.378045
509.3386	2.379546
508.8488	2.381048
508.3587	2.382553
507.8686	2.384060
507.3784	2.385569
506.8880	2.387081
506.3976	2.388595
505.9070	2.390111
505.4163	2.391630
504.9255	2.393151
504.4346	2.394674
503.9436	2.396200
503.4525	2.397727
502.9612	2.399257
502.4698	2.400790
501.9784	2.402324
501.4868	2.403861
500.9951	2.405400
500.5033	2.406942
500.0114	2.408485
499.5193	2.410031
499.0272	2.411579
498.5349	2.413130
498.0426	2.414682
497.5501	2.416237
497.0575	2.417794
496.5648	2.419353
496.0720	2.420915
495.5790	2.422478
495.0860	2.424044
494.5928	2.425612
494.0995	2.427183
493.6062	2.428755
493.1127	2.430330
492.6190	2.431907
492.1253	2.433486
491.6315	2.435067
491.1375	2.436650
490.6435	2.438235
490.1493	2.439823
489.6550	2.441413
