Resultados del Stack: Ajuste_muestra2
Fecha: 2026-06-08 17:00:20
ID: 5

información del stack
=====================

Material: air
Modelo de Dispersión: None

Material: T1_porosa
Modelo de Dispersión: bruggeman
Espesor: 1.69 nm
Parámetros del Modelo: {'f_air': 0.035041542960543424, 'linked_to': 'T1_porosa', 'f_optimized': 1.0}

Material: T1_porosa
Modelo de Dispersión: cauchy
Espesor: 10.83 nm
Parámetros del Modelo: {'A': 2.975719374984167, 'B': 18.388771643570294, 'C': 10.78486032740824}

Material: Si
Modelo de Dispersión: None

=====================

wl,best_Ic,best_Is,Ic_exp,Is_exp
776.9332,-0.3235094681486133,0.07261878804190904,-0.2998904326785166,0.0671818502772538
776.5032,-0.3235788718067272,0.07265834065527078,-0.29999778083189266,0.06731038196012971
776.0731,-0.3236482575889285,0.07269779745953167,-0.3001173209356999,0.06723267808388843
775.6429,-0.3237176309270833,0.07273714984540085,-0.3002069965538255,0.06743987902429421
775.2126,-0.3237869876419145,0.07277640367741386,-0.3003483868195601,0.0674165776391591
774.7822,-0.32385153001387984,0.07280538644885104,-0.3005404573891196,0.06747070952732825
774.3517,-0.3239113851400561,0.07282433320404455,-0.30059169180146084,0.06739404546500147
773.9212,-0.32397103252314713,0.0728427588501941,-0.30071895346281835,0.0674336029389599
773.4905,-0.3240298300111451,0.07285925029962516,-0.30085496199591394,0.06728213189099405
773.0598,-0.32408861592462224,0.07287562905318695,-0.3011111453798363,0.06720148179159853
772.6289,-0.3241474254833222,0.07289190781484531,-0.30136846906888654,0.06711535706371728
772.198,-0.3242062249938083,0.07290807368564091,-0.30172258068780794,0.06720527296806858
771.7669,-0.32426504063131717,0.07292413266466478,-0.30174324805523206,0.06726515546936891
771.3358,-0.324323845249638,0.07294007670985707,-0.30180145767552147,0.06715649990069299
770.9046,-0.3243826506367395,0.0729559075013268,-0.30189983959980565,0.06717286170447845
770.4733,-0.3244414519038541,0.07297162074741774,-0.3020883825399328,0.06724248042116111
770.0419,-0.3245002562302185,0.07298722099705508,-0.3022031799335927,0.06718500163170024
769.6104,-0.32455907190863303,0.07300271363379458,-0.3024534268556129,0.06712985018645501
769.1787,-0.3246179054356325,0.07301809626602666,-0.302635340507153,0.0670760151561372
768.7471,-0.32467671520090857,0.07303335699221761,-0.3025720366940706,0.06690133391072516
768.3152,-0.32473555585759023,0.07304850934336132,-0.30295183847505763,0.06687439980543192
767.8834,-0.32479437062744865,0.07306353687564042,-0.30328721215664317,0.06704836127443652
767.4514,-0.3248531963853752,0.07307844638842148,-0.3034670699591675,0.06731037136005923
767.0193,-0.32491202624671023,0.07309323861878259,-0.3036825490956366,0.06725807424552806
766.5872,-0.32497085535928927,0.07310791592816608,-0.3038975193757824,0.06736132872881172
766.1549,-0.3250297028977781,0.0731224784205894,-0.30406532695137545,0.06737068674939606
765.7224,-0.3250876130360209,0.07313922996828441,-0.30426836759836096,0.06722070862034683
765.2901,-0.32514495236926905,0.07315713448575807,-0.30446078997959286,0.06711833093171429
764.8575,-0.32520118206996335,0.07317768302937849,-0.3047132726036678,0.06705131351138355
764.4249,-0.32525507967048484,0.0732037154417972,-0.3050301152795163,0.0671545240070091
763.9922,-0.32530897252537944,0.07322962189580075,-0.3054121179733518,0.0671156811719754
763.5593,-0.3253628732239593,0.07325540766674574,-0.3056746898387553,0.067156604701145
763.1264,-0.3254167570056815,0.07328106017241293,-0.30592595802146444,0.06709427778647181
762.6934,-0.32547063646654834,0.07330658471231802,-0.306083866586088,0.06730250308068982
762.2603,-0.3255245117509215,0.07333198061081321,-0.30617981390140225,0.06732920245509286
761.8271,-0.3255783803702779,0.07335725104044774,-0.30628280883478026,0.06732383096924248
761.3938,-0.32563224113424205,0.07338239726242025,-0.3063522543178604,0.06731667530096906
760.9604,-0.32568609793882236,0.07340741129392891,-0.30653174867130245,0.06758048344299368
760.5269,-0.32573994900399933,0.0734322790595517,-0.3067393973412925,0.06771609018988649
760.0933,-0.32579379664213437,0.07345701474691951,-0.3070613528458574,0.06764104921533372
759.6597,-0.32584763563433844,0.07348161729542124,-0.307347853577035,0.06772665954835763
759.2259,-0.32590148585107914,0.07350609351970763,-0.3074220212598887,0.06769799588280971
758.7921,-0.32595532068957145,0.0735304299826759,-0.30765983594937024,0.06754208249801229
758.3581,-0.32600916512735545,0.07355463719843353,-0.30786931034767845,0.06751485313934753
757.924,-0.32606300574861524,0.07357871051771078,-0.3078563427526315,0.06757395855917489
757.49,-0.3261168135989891,0.07360264448829835,-0.30806109596147335,0.06756818176157744
757.0556,-0.3261706563029637,0.07362645796803648,-0.30816405927247753,0.06756257951873322
756.6213,-0.3262244778485979,0.07365011438496515,-0.3084370462696125,0.0675547289181226
756.1868,-0.3262783106379826,0.07367363657593548,-0.3086722460566626,0.06771916732400744
755.7523,-0.32634266463213946,0.07369600942494456,-0.3087128663380834,0.0676885482768086
755.3177,-0.3264149629531482,0.07371749849638976,-0.3088915775545009,0.06780119088765332
754.883,-0.3264872596572336,0.07373886475307562,-0.30893811739818827,0.06774358817452147
754.4482,-0.32655955490536953,0.07376010751160725,-0.3089945285296926,0.06779552498433283
