# Lambda(nm) R(%)
3.932330827067669361e+02 4.206558717086988919e-01
3.947368421052631788e+02 4.120950186805719118e-01
3.962406015037594216e+02 4.035973073052141480e-01
3.977443609022556075e+02 3.950886349657027341e-01
3.992481203007519071e+02 3.867133187064795141e-01
4.007518796992480929e+02 3.777987044641560321e-01
4.022556390977443925e+02 3.684985923320768242e-01
4.037593984962405784e+02 3.594688982120141096e-01
4.052631578947368212e+02 3.505973096170655889e-01
4.067669172932330639e+02 3.420350932609214634e-01
4.082706766917293066e+02 3.334995670382324695e-01
4.097744360902255494e+02 3.248795277157194850e-01
4.112781954887217921e+02 3.163293566246797583e-01
4.127819548872180349e+02 3.078515813014037206e-01
4.142857142857142776e+02 2.996362359990397128e-01
4.157894736842105203e+02 2.915968025715097722e-01
4.172932330827067631e+02 2.837219323079940292e-01
4.187969924812030058e+02 2.759320685852849064e-01
4.203007518796992485e+02 2.682012801043727745e-01
4.218045112781954913e+02 2.611026389265994063e-01
4.233082706766917340e+02 2.540730989438577114e-01
4.248120300751879768e+02 2.472006029902679147e-01
4.263157894736842195e+02 2.406625510962138170e-01
4.278195488721804622e+02 2.342350957565792757e-01
4.293233082706767050e+02 2.278654428851401292e-01
4.308270676691729477e+02 2.215905019151867827e-01
4.323308270676691336e+02 2.154152870133970443e-01
4.338345864661654332e+02 2.094231613521657653e-01
4.353383458646616191e+02 2.037198015481397895e-01
4.368421052631579187e+02 1.980212518469244565e-01
4.383458646616541046e+02 1.920579098470839852e-01
4.398496240601504041e+02 1.862238030485313389e-01
4.413533834586465900e+02 1.813114448260116363e-01
4.428571428571428896e+02 1.765565853998928569e-01
4.443609022556390755e+02 1.716967759732938303e-01
4.458646616541353751e+02 1.669201714681443072e-01
4.473684210526315610e+02 1.626496110539040196e-01
4.488721804511278606e+02 1.585232346615729482e-01
4.503759398496240465e+02 1.541036667505300273e-01
4.518796992481202892e+02 1.496918577486977819e-01
4.533834586466165320e+02 1.456117227260998737e-01
4.548872180451127747e+02 1.417815973777007410e-01
4.563909774436090174e+02 1.380466464274690275e-01
4.578947368421052602e+02 1.344129146645592354e-01
4.593984962406015029e+02 1.308760536949443720e-01
4.609022556390977456e+02 1.276865864824501817e-01
4.624060150375939884e+02 1.247527486740375863e-01
4.639097744360902311e+02 1.219375558593681214e-01
4.654135338345864739e+02 1.192164038355340572e-01
