Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
656.4218	25.991	83.086
655.9651	26.006	83.077
655.5084	26.021	83.069
655.0516	26.036	83.060
654.5947	26.052	83.052
654.1377	26.067	83.043
653.6806	26.082	83.034
653.2234	26.097	83.026
652.7661	26.112	83.017
652.3087	26.128	83.009
651.8511	26.143	83.000
651.3936	26.158	82.992
650.9358	26.174	82.984
650.4780	26.189	82.975
650.0201	26.205	82.967
649.5620	26.220	82.958
649.1039	26.236	82.950
648.6457	26.251	82.942
648.1873	26.267	82.933
647.7289	26.282	82.925
647.2703	26.298	82.917
646.8117	26.313	82.908
646.3530	26.329	82.900
645.8941	26.344	82.892
645.4351	26.360	82.884
644.9761	26.376	82.877
644.5169	26.392	82.869
644.0577	26.408	82.862
643.5983	26.424	82.854
643.1389	26.440	82.847
642.6793	26.456	82.840
642.2196	26.472	82.832
641.7598	26.488	82.826
641.2999	26.505	82.819
640.8400	26.521	82.813
640.3799	26.538	82.806
639.9197	26.554	82.800
639.4594	26.570	82.793
638.9990	26.587	82.787
638.5385	26.603	82.780
638.0779	26.620	82.774
637.6172	26.636	82.767
637.1564	26.653	82.761
636.6954	26.669	82.754
636.2344	26.686	82.748
635.7733	26.702	82.742
635.3121	26.718	82.734
634.8508	26.734	82.726
634.3893	26.750	82.719
633.9278	26.766	82.712
633.4662	26.782	82.704
633.0044	26.798	82.697
632.5425	26.814	82.689
632.0806	26.831	82.682
631.6186	26.847	82.674
631.1564	26.863	82.667
630.6942	26.879	82.660
630.2318	26.895	82.652
629.7693	26.911	82.645
629.3068	26.928	82.638
628.8441	26.944	82.630
628.3813	26.960	82.623
627.9184	26.977	82.615
627.4554	26.993	82.608
626.9923	27.009	82.600
626.5291	27.026	82.593
626.0658	27.042	82.586
625.6024	27.059	82.578
625.1389	27.076	82.571
624.6753	27.092	82.563
624.2115	27.109	82.556
623.7477	27.126	82.548
623.2838	27.142	82.541
622.8198	27.159	82.533
622.3557	27.176	82.526
621.8914	27.192	82.518
621.4271	27.209	82.511
620.9626	27.226	82.503
620.4980	27.243	82.496
620.0334	27.260	82.489
619.5687	27.277	82.482
619.1038	27.294	82.476
618.6388	27.312	82.470
618.1737	27.329	82.464
617.7086	27.347	82.458
617.2433	27.365	82.452
616.7779	27.382	82.446
616.3124	27.400	82.440
615.8468	27.417	82.434
615.3810	27.435	82.429
614.9153	27.453	82.423
614.4492	27.470	82.417
613.9833	27.488	82.411
613.5172	27.506	82.405
613.0510	27.523	82.400
612.5847	27.541	82.394
612.1182	27.559	82.389
611.6516	27.577	82.383
611.1850	27.595	82.378
610.7183	27.612	82.373
610.2514	27.630	82.368
609.7844	27.648	82.363
609.3173	27.666	82.358
608.8502	27.684	82.353
608.3829	27.702	82.348
607.9156	27.720	82.343
607.4480	27.738	82.338
606.9804	27.756	82.333
606.5127	27.774	82.328
606.0449	27.792	82.323
605.5770	27.810	82.318
605.1089	27.828	82.313
604.6408	27.846	82.308
604.1726	27.865	82.304
603.7042	27.883	82.299
603.2358	27.901	82.294
602.7673	27.919	82.290
602.2986	27.938	82.285
601.8298	27.956	82.280
601.3610	27.974	82.276
600.8920	27.993	82.271
600.4229	28.011	82.266
599.9537	28.030	82.262
599.4844	28.048	82.257
599.0150	28.066	82.253
598.5455	28.085	82.248
598.0759	28.104	82.243
597.6062	28.122	82.238
597.1364	28.141	82.233
596.6664	28.160	82.228
596.1964	28.178	82.223
595.7263	28.197	82.218
595.2560	28.216	82.213
594.7857	28.235	82.208
594.3152	28.254	82.203
593.8447	28.273	82.198
593.3741	28.292	82.193
592.9032	28.311	82.188
592.4323	28.330	82.183
591.9613	28.349	82.178
591.4902	28.368	82.173
591.0190	28.387	82.168
590.5477	28.406	82.163
590.0763	28.425	82.158
589.6048	28.444	82.154
589.1331	28.463	82.150
588.6614	28.481	82.146
588.1896	28.500	82.142
587.7176	28.519	82.138
587.2455	28.538	82.134
586.7734	28.557	82.130
586.3011	28.576	82.126
585.8287	28.595	82.122
585.3563	28.614	82.118
584.8837	28.633	82.115
584.4109	28.652	82.111
583.9382	28.671	82.108
583.4652	28.691	82.104
582.9922	28.710	82.101
582.5191	28.730	82.097
582.0458	28.749	82.094
581.5725	28.769	82.091
581.0991	28.789	82.087
580.6255	28.809	82.084
580.1519	28.829	82.081
579.6780	28.849	82.078
579.2042	28.869	82.075
578.7303	28.889	82.072
578.2561	28.909	82.069
577.7819	28.929	82.066
577.3076	28.949	82.063
576.8332	28.970	82.060
576.3586	28.990	82.058
575.8840	29.011	82.056
575.4093	29.031	82.053
574.9344	29.052	82.051
574.4595	29.073	82.049
573.9844	29.094	82.047
573.5092	29.115	82.044
573.0339	29.135	82.042
572.5586	29.156	82.040
572.0831	29.177	82.038
571.6075	29.198	82.036
571.1318	29.219	82.034
570.6559	29.239	82.031
570.1801	29.260	82.029
569.7040	29.281	82.027
569.2278	29.301	82.025
568.7516	29.322	82.022
568.2753	29.342	82.020
567.7989	29.363	82.018
567.3222	29.383	82.015
566.8455	29.403	82.013
566.3687	29.424	82.011
565.8918	29.444	82.008
565.4149	29.465	82.006
564.9377	29.485	82.004
564.4605	29.506	82.002
563.9832	29.526	81.999
563.5057	29.547	81.997
563.0282	29.569	81.996
562.5505	29.591	81.994
562.0728	29.612	81.993
561.5948	29.634	81.991
561.1169	29.656	81.989
560.6388	29.678	81.988
560.1606	29.700	81.986
559.6823	29.722	81.985
559.2039	29.744	81.983
558.7253	29.766	81.982
558.2467	29.788	81.981
557.7679	29.810	81.979
557.2891	29.832	81.978
556.8102	29.854	81.976
556.3311	29.876	81.975
555.8519	29.899	81.974
555.3726	29.921	81.973
554.8932	29.943	81.971
554.4137	29.965	81.970
553.9341	29.988	81.969
553.4543	30.010	81.968
552.9745	30.032	81.966
552.4946	30.055	81.965
552.0145	30.077	81.964
551.5345	30.100	81.963
551.0541	30.122	81.962
550.5737	30.145	81.961
550.0933	30.167	81.960
549.6126	30.189	81.959
549.1320	30.212	81.958
548.6511	30.234	81.956
548.1702	30.257	81.956
547.6891	30.280	81.955
547.2080	30.302	81.954
546.7267	30.325	81.953
546.2454	30.347	81.952
545.7639	30.370	81.951
545.2823	30.393	81.950
544.8007	30.415	81.949
544.3188	30.438	81.948
543.8369	30.461	81.947
543.3549	30.483	81.946
542.8728	30.506	81.945
542.3905	30.529	81.944
541.9082	30.551	81.943
541.4257	30.574	81.942
540.9431	30.597	81.941
540.4604	30.620	81.941
539.9777	30.643	81.940
539.4948	30.665	81.939
539.0118	30.689	81.938
538.5286	30.713	81.939
538.0454	30.738	81.940
537.5621	30.762	81.941
537.0786	30.787	81.942
536.5950	30.812	81.943
536.1114	30.836	81.944
535.6276	30.861	81.945
535.1437	30.886	81.946
534.6597	30.911	81.947
534.1756	30.936	81.948
533.6913	30.960	81.949
533.2070	30.985	81.949
