Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
519.6006	25.826	91.559
519.1131	25.848	91.552
518.6254	25.871	91.546
518.1377	25.893	91.540
517.6498	25.915	91.533
517.1618	25.938	91.527
516.6737	25.960	91.520
516.1855	25.983	91.514
515.6971	26.006	91.508
515.2087	26.029	91.502
514.7202	26.052	91.496
514.2314	26.075	91.490
513.7427	26.097	91.483
513.2538	26.120	91.477
512.7648	26.143	91.471
512.2757	26.166	91.464
511.7864	26.189	91.457
511.2971	26.212	91.451
510.8076	26.236	91.444
510.3181	26.259	91.437
509.8284	26.282	91.429
509.3386	26.306	91.422
508.8488	26.329	91.414
508.3587	26.352	91.407
507.8686	26.376	91.399
507.3784	26.399	91.392
506.8880	26.423	91.384
506.3976	26.446	91.376
505.9070	26.470	91.369
505.4163	26.494	91.363
504.9255	26.519	91.356
504.4346	26.543	91.350
503.9436	26.568	91.343
503.4525	26.592	91.337
502.9612	26.617	91.330
502.4698	26.641	91.324
501.9784	26.666	91.317
501.4868	26.690	91.310
500.9951	26.715	91.303
500.5033	26.740	91.296
500.0114	26.764	91.289
499.5193	26.789	91.282
499.0272	26.814	91.275
498.5349	26.839	91.267
498.0426	26.864	91.260
497.5501	26.889	91.252
497.0575	26.913	91.245
496.5648	26.938	91.237
496.0720	26.963	91.229
495.5790	26.989	91.222
495.0860	27.014	91.214
494.5928	27.039	91.206
494.0995	27.065	91.198
493.6062	27.090	91.189
493.1127	27.115	91.181
492.6190	27.141	91.173
492.1253	27.166	91.164
491.6315	27.192	91.157
491.1375	27.219	91.149
490.6435	27.245	91.141
490.1493	27.271	91.134
489.6550	27.298	91.127
489.1606	27.325	91.120
488.6661	27.352	91.113
488.1714	27.379	91.106
487.6767	27.406	91.098
487.1818	27.434	91.091
486.6869	27.461	91.084
486.1918	27.488	91.076
485.6966	27.516	91.069
485.2013	27.544	91.062
484.7058	27.571	91.056
484.2103	27.599	91.048
483.7146	27.627	91.041
483.2189	27.655	91.034
482.7230	27.683	91.026
482.2270	27.711	91.019
481.7309	27.740	91.011
481.2346	27.768	91.004
480.7383	27.796	90.996
480.2419	27.825	90.989
479.7453	27.854	90.981
479.2486	27.882	90.974
478.7518	27.911	90.966
478.2549	27.940	90.958
477.7579	27.969	90.950
477.2608	27.998	90.942
476.7635	28.027	90.933
476.2662	28.056	90.926
475.7687	28.086	90.918
475.2711	28.115	90.910
474.7734	28.145	90.902
474.2756	28.175	90.893
473.7776	28.204	90.885
473.2796	28.234	90.876
472.7814	28.264	90.868
472.2831	28.294	90.859
471.7848	28.324	90.850
471.2863	28.354	90.840
470.7876	28.385	90.831
470.2889	28.415	90.821
469.7900	28.446	90.812
469.2911	28.476	90.802
468.7920	28.507	90.792
468.2928	28.537	90.781
467.7935	28.568	90.771
467.2941	28.600	90.761
466.7945	28.631	90.750
466.2949	28.663	90.740
465.7951	28.695	90.729
465.2952	28.727	90.718
464.7952	28.758	90.707
464.2951	28.790	90.696
463.7949	28.823	90.685
463.2946	28.855	90.675
462.7941	28.887	90.664
462.2935	28.920	90.654
461.7928	28.953	90.644
461.2921	28.986	90.634
460.7911	29.019	90.624
460.2901	29.052	90.614
459.7889	29.085	90.603
459.2877	29.118	90.592
