## SPECTRUM TYPE:
LCE

## DATE:
25/06/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
11:21:13

# END TIME:
11:21:13

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
12

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
18 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
963.4023 50.633 143.314 -0.10485 0.07811 0.118 -0.02604 18.0000 11.29 0.6743 1.0615 1.286941 
963.0115 10.392 81.656 0.01065 0.07264 0.905 0.19343 18.0000 11.45 0.6386 0.9552 1.287463 
962.6207 5.833 179.894 -0.16892 0.00031 0.949 0.81810 18.0000 11.49 0.5860 0.9002 1.287986 
962.2297 17.359 202.308 -0.53814 -0.22079 0.909 0.83951 18.0000 11.46 0.8008 0.8631 1.288509 
961.8386 13.533 193.244 -0.54043 -0.12720 0.882 1.08654 18.0000 11.62 0.9603 1.1538 1.289033 
961.4474 16.518 189.665 -0.64321 -0.10955 0.952 1.00337 18.0000 11.77 0.8997 1.0939 1.289558 
961.0562 15.898 187.000 -0.61806 -0.07589 0.939 1.00447 18.0000 11.54 0.9324 1.1833 1.290083 
960.6649 16.446 186.626 -0.64119 -0.07449 0.019 0.99807 18.0000 11.91 0.8222 1.0203 1.290608 
960.2736 14.839 183.634 -0.55593 -0.03531 0.018 0.97744 18.0000 11.74 0.6849 0.7953 1.291134 
959.8821 12.306 188.470 -0.43878 -0.06534 0.689 0.96841 18.0000 11.83 0.6867 0.7364 1.291661 
959.4905 8.713 199.021 -0.26322 -0.09074 0.932 0.88707 18.0000 11.78 0.7074 0.7875 1.292188 
959.0989 5.744 322.960 0.11527 -0.08699 0.874 0.71053 18.0000 12.21 0.5947 0.7579 1.292715 
958.7073 4.804 240.577 -0.05018 -0.08896 1.779 0.60333 18.0000 12.22 0.5628 0.7261 1.293243 
958.3155 10.761 209.126 -0.20728 -0.11549 -17.443 0.60169 18.0000 12.02 0.5616 0.5961 1.293772 
957.9236 10.085 209.101 -0.20159 -0.11221 0.968 0.62810 18.0000 11.89 0.6098 0.6151 1.294301 
957.5317 6.985 204.340 -0.15509 -0.07016 -88.708 0.68424 18.0000 11.99 0.6782 0.6825 1.294831 
957.1396 4.309 196.489 -0.11430 -0.03383 0.918 0.78654 18.0000 11.94 0.8228 0.8408 1.295362 
956.7476 3.333 199.611 -0.09326 -0.03323 -2.459 0.84720 18.0000 12.19 0.8482 0.8604 1.295892 
956.3554 0.809 194.627 -0.02434 -0.00635 1.096 0.89090 18.0000 12.61 0.8319 0.8468 1.296424 
955.9632 3.070 236.759 -0.05364 -0.08184 -0.008 0.90948 18.0000 12.77 0.8792 0.9040 1.296956 
955.5709 1.575 235.843 -0.03170 -0.04672 -0.005 1.02595 18.0000 12.44 0.9688 1.0124 1.297488 
955.1784 2.566 127.665 -0.04917 0.06370 -0.006 0.89611 18.0000 12.62 0.7590 0.7999 1.298021 
954.7859 7.690 115.255 -0.08392 0.17790 1.091 0.71507 18.0000 12.86 0.6395 0.7794 1.298555 
954.3934 16.244 118.630 -0.16233 0.29738 9.091 0.53206 18.0000 12.59 0.6303 0.8519 1.299089 
954.0007 23.091 123.212 -0.20095 0.30694 1.004 0.35204 18.0000 12.69 0.6385 0.9046 1.299624 
953.6080 15.057 159.752 -0.33010 0.12177 1.276 0.60659 18.0000 12.90 1.0180 1.3679 1.300159 
953.2152 20.952 143.733 -0.24589 0.18041 -0.828 0.33986 18.0000 13.05 0.5488 0.8432 1.300695 
952.8223 61.444 66.047 0.22007 0.49537 0.898 -0.35050 18.0000 12.92 0.6483 1.1273 1.301231 
952.4293 67.546 23.291 26.41268 11.37005 1.062 -28.84936 18.0000 13.07 0.9208 1.5374 1.301768 
952.0363 28.969 179.931 -4.41747 0.00536 1.131 2.76707 18.0000 13.05 1.1202 1.8032 1.302305 
951.6432 33.784 5.802 35.40109 3.59696 0.922 14.69029 18.0000 13.42 1.1773 1.8880 1.302843 
951.2499 47.169 202.194 -6.17258 -2.51825 1.060 -0.50578 18.0000 12.95 1.0319 1.7172 1.303382 
950.8567 26.208 191.494 -2.08232 -0.42344 3.647 1.63543 18.0000 13.09 0.9320 1.9089 1.303921 
