# lams, psi_mean, delta_mean
860.688800 8.091044 51.013013
860.276700 8.794904 47.887176
859.864600 8.800849 48.582184
859.452300 9.395059 43.588180
859.040000 10.289318 41.744362
858.627600 11.040548 39.984262
858.215100 12.210065 41.363841
857.802600 12.845235 42.629580
857.389900 13.676030 44.739872
856.977100 13.508106 44.421737
856.564300 13.379427 43.230026
856.151400 13.740801 43.083662
855.738300 13.335901 41.868650
855.325300 13.746900 41.960060
854.912000 14.221529 39.679322
854.498800 14.114460 35.651926
854.085400 14.424786 35.199713
853.671900 14.693678 34.335054
853.258400 14.715065 32.257656
852.844800 14.604989 29.646002
852.431100 14.240848 26.790546
852.017300 14.439593 26.045640
851.603400 14.298099 24.541737
851.189400 14.520527 24.046777
850.775300 15.141497 23.868774
850.361200 15.092587 21.314917
849.947000 15.320159 21.281512
849.532600 15.623623 20.892337
849.118200 15.749930 19.809785
848.703700 15.821428 18.631115
848.289100 16.001136 17.462227
847.874400 16.035327 16.058343
847.459700 16.098505 14.447007
847.044800 16.296647 13.001287
846.629800 16.380905 11.630675
846.214800 16.449249 10.038839
845.799700 16.527318 8.731867
845.384500 16.554781 7.237120
844.969200 16.760174 6.044088
844.553800 16.976051 4.431463
844.138300 16.724735 2.897547
843.722700 16.572061 1.250641
843.307100 16.546640 359.429835
842.891400 16.693486 358.292889
842.475500 16.565400 357.095278
842.059600 16.747112 356.123009
841.643600 16.759135 354.807387
841.227500 16.451622 353.331304
840.811300 16.057512 351.938028
840.395100 16.082217 350.879172
839.978700 16.020586 349.614335
839.562300 15.899894 348.519690
839.145700 15.788095 347.244864
838.729100 15.823691 345.768122
838.312400 15.851682 344.311293
837.895600 15.826102 342.862807
837.478700 15.958063 341.358051
837.061700 15.955091 339.947870
836.644700 15.936344 338.712676
836.227500 15.968083 337.386578
835.810200 15.984561 336.068093
835.392900 15.847599 334.537530
834.975500 15.855305 333.106872
834.557900 15.851169 331.766812
834.140300 15.719153 330.360442
833.722700 15.658289 329.200338
833.304900 15.638108 327.982022
832.887000 15.620402 326.789351
832.469100 15.429737 325.194355
832.051000 15.393472 323.981021
831.632900 15.335460 322.688975
831.214600 15.222653 321.177258
830.796300 15.233675 320.094889
830.377900 15.194549 318.948006
829.959400 15.066114 317.595050
829.540800 14.998641 316.369624
829.122100 14.793709 314.844097
828.703400 14.698184 313.620087
828.284500 14.519852 312.031284
827.865600 14.430854 310.731415
827.446500 14.290492 309.321203
827.027500 14.135282 307.770194
826.608200 14.036284 306.493840
826.188900 13.916308 305.167386
825.769500 13.773176 303.771504
825.350000 13.599777 302.211907
824.930500 13.452663 300.730978
824.510800 13.360786 299.387693
824.091100 13.246010 297.977891
823.671300 13.124092 296.497264
823.251300 12.984906 295.043295
822.831300 12.875436 293.536899
822.411200 12.776890 292.217023
821.991000 12.653428 290.878952
821.570700 12.541520 289.378960
821.150300 12.429512 287.903523
820.729900 12.346242 286.635442
820.309300 12.230189 285.216768
819.888600 12.115814 283.603081
819.467900 12.018833 282.156289
819.047100 11.918328 280.816861
818.626200 11.821930 279.319601
818.205100 11.734761 277.750112
817.784100 11.654320 276.297070
817.362900 11.539959 274.633849
816.941600 11.443392 273.213335
816.520200 11.361014 271.618050
816.098800 11.270680 270.066261
815.677200 11.201541 268.522041
815.255600 11.103732 266.767363
814.833800 11.020307 265.113874
814.412000 10.966341 263.578215
813.990100 10.898518 262.078587
813.568100 10.822692 260.438512
813.146000 10.758613 258.538420
812.723800 10.685380 256.763081
812.301500 10.649151 255.386559
811.879200 10.565462 253.380220
811.456700 10.503608 251.629576
811.034100 10.454179 249.788831
810.611500 10.395727 248.063211
810.188800 10.360662 246.241336
809.765900 10.321533 244.398749
809.343000 10.292972 242.559938
