Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
497.0575	12.857	165.996
496.5648	12.869	165.987
496.0720	12.882	165.979
495.5790	12.894	165.969
495.0860	12.907	165.959
494.5928	12.919	165.949
494.0995	12.932	165.939
493.6062	12.944	165.929
493.1127	12.957	165.919
492.6190	12.970	165.910
492.1253	12.982	165.900
491.6315	12.995	165.888
491.1375	13.009	165.875
490.6435	13.022	165.863
490.1493	13.036	165.850
489.6550	13.050	165.835
489.1606	13.064	165.820
488.6661	13.078	165.805
488.1714	13.093	165.789
487.6767	13.107	165.774
487.1818	13.121	165.759
486.6869	13.135	165.744
486.1918	13.149	165.728
485.6966	13.164	165.711
485.2013	13.179	165.694
484.7058	13.194	165.677
484.2103	13.209	165.660
483.7146	13.224	165.642
483.2189	13.239	165.625
482.7230	13.254	165.608
482.2270	13.269	165.591
481.7309	13.284	165.572
481.2346	13.299	165.554
480.7383	13.314	165.535
480.2419	13.329	165.517
479.7453	13.345	165.497
479.2486	13.360	165.478
478.7518	13.375	165.458
478.2549	13.391	165.439
477.7579	13.406	165.419
477.2608	13.421	165.400
476.7635	13.437	165.380
476.2662	13.453	165.359
475.7687	13.468	165.337
475.2711	13.484	165.316
474.7734	13.500	165.294
474.2756	13.516	165.273
473.7776	13.532	165.252
473.2796	13.548	165.230
472.7814	13.564	165.207
472.2831	13.580	165.184
471.7848	13.595	165.162
471.2863	13.611	165.138
470.7876	13.627	165.113
470.2889	13.643	165.089
469.7900	13.659	165.065
469.2911	13.675	165.040
468.7920	13.691	165.016
468.2928	13.707	164.991
467.7935	13.722	164.966
467.2941	13.739	164.936
466.7945	13.755	164.907
466.2949	13.772	164.877
465.7951	13.788	164.848
465.2952	13.805	164.818
464.7952	13.821	164.788
464.2951	13.837	164.759
463.7949	13.855	164.728
463.2946	13.872	164.698
462.7941	13.889	164.667
462.2935	13.907	164.635
461.7928	13.925	164.604
461.2921	13.943	164.572
460.7911	13.961	164.540
460.2901	13.979	164.509
459.7889	13.997	164.477
459.2877	14.015	164.445
458.7863	14.033	164.411
458.2848	14.052	164.375
457.7832	14.070	164.340
457.2815	14.089	164.305
456.7796	14.107	164.269
456.2777	14.126	164.234
455.7756	14.144	164.199
455.2734	14.163	164.161
454.7711	14.182	164.122
454.2687	14.201	164.085
453.7662	14.220	164.045
453.2635	14.239	164.004
452.7608	14.258	163.963
452.2579	14.278	163.922
451.7549	14.297	163.882
451.2518	14.316	163.841
450.7485	14.335	163.799
450.2452	14.356	163.751

