Source : Fit
Spectrum : 1

Wavelength	Psi	Delta
519.1131	11.856	165.698
518.6254	11.869	165.703
518.1377	11.882	165.707
517.6498	11.895	165.710
517.1618	11.909	165.714
516.6737	11.922	165.717
516.1855	11.935	165.721
515.6971	11.948	165.726
515.2087	11.962	165.730
514.7202	11.975	165.734
514.2314	11.989	165.738
513.7427	12.003	165.741
513.2538	12.016	165.744
512.7648	12.030	165.746
512.2757	12.044	165.749
511.7864	12.058	165.751
511.2971	12.072	165.753
510.8076	12.087	165.754
510.3181	12.101	165.755
509.8284	12.116	165.756
509.3386	12.130	165.756
508.8488	12.145	165.757
508.3587	12.160	165.756
507.8686	12.175	165.756
507.3784	12.190	165.755
506.8880	12.205	165.753
506.3976	12.220	165.752
505.9070	12.235	165.751
505.4163	12.251	165.755
504.9255	12.266	165.759
504.4346	12.281	165.762
503.9436	12.297	165.765
503.4525	12.313	165.768
502.9612	12.328	165.770
502.4698	12.344	165.771
501.9784	12.360	165.772
501.4868	12.376	165.773
500.9951	12.392	165.773
500.5033	12.408	165.773
500.0114	12.424	165.773
499.5193	12.440	165.772
499.0272	12.457	165.771
498.5349	12.473	165.769
498.0426	12.490	165.767
497.5501	12.506	165.764
497.0575	12.523	165.761
496.5648	12.540	165.757
496.0720	12.556	165.753
495.5790	12.573	165.749
495.0860	12.590	165.745
494.5928	12.608	165.740
494.0995	12.625	165.735
493.6062	12.642	165.729
493.1127	12.660	165.723
492.6190	12.677	165.716
492.1253	12.695	165.709
491.6315	12.713	165.705
491.1375	12.731	165.701
490.6435	12.749	165.697
490.1493	12.767	165.693
489.6550	12.786	165.691
489.1606	12.805	165.690
488.6661	12.824	165.689
488.1714	12.843	165.686
487.6767	12.862	165.684
487.1818	12.881	165.680
486.6869	12.900	165.676
486.1918	12.920	165.671
485.6966	12.939	165.669
485.2013	12.959	165.667
484.7058	12.979	165.664
484.2103	12.999	165.660
483.7146	13.019	165.655
483.2189	13.039	165.650
482.7230	13.060	165.644
482.2270	13.080	165.638
481.7309	13.101	165.632
481.2346	13.121	165.625
480.7383	13.142	165.618
480.2419	13.163	165.610
479.7453	13.184	165.603
479.2486	13.206	165.595
478.7518	13.227	165.586
478.2549	13.249	165.576
477.7579	13.270	165.566
477.2608	13.292	165.554
476.7635	13.313	165.543
476.2662	13.336	165.533
475.7687	13.358	165.522
475.2711	13.380	165.511
474.7734	13.403	165.498
474.2756	13.425	165.485
473.7776	13.448	165.471
473.2796	13.470	165.456
472.7814	13.493	165.440
472.2831	13.516	165.424
471.7848	13.539	165.406
471.2863	13.563	165.388
470.7876	13.586	165.370
470.2889	13.610	165.350
469.7900	13.634	165.329
469.2911	13.657	165.308
468.7920	13.681	165.285
468.2928	13.705	165.262
467.7935	13.729	165.238
467.2941	13.754	165.214
466.7945	13.780	165.190
466.2949	13.805	165.165
465.7951	13.830	165.139
465.2952	13.855	165.111
464.7952	13.881	165.083
464.2951	13.906	165.054
463.7949	13.932	165.027
463.2946	13.958	164.999
462.7941	13.984	164.969
462.2935	14.010	164.942
461.7928	14.036	164.914
461.2921	14.063	164.885
460.7911	14.089	164.855
460.2901	14.116	164.823
459.7889	14.142	164.791
459.2877	14.169	164.757
458.7863	14.196	164.724
458.2848	14.224	164.690
457.7832	14.251	164.654
457.2815	14.279	164.618
456.7796	14.306	164.580
456.2777	14.334	164.540
455.7756	14.361	164.500
455.2734	14.390	164.460
454.7711	14.418	164.418
454.2687	14.446	164.375
453.7662	14.475	164.331
453.2635	14.504	164.287
452.7608	14.533	164.240
452.2579	14.562	164.193
451.7549	14.591	164.144
451.2518	14.620	164.094
450.7485	14.649	164.043
450.2452	14.680	163.991

