# lams, desv_psi, desv_delta
888.506200 2.495728 0.606247
888.100000 1.011825 1.273940
887.693700 0.800546 1.067500
887.287300 0.744093 1.079148
886.880800 0.660561 1.025059
886.474300 0.982092 1.088283
886.067600 0.559823 1.034910
885.660900 1.284409 2.125119
885.254100 0.768368 0.215738
884.847200 0.944206 0.126532
884.440200 1.072646 0.344596
884.033200 1.241349 0.098605
883.626000 5.775198 0.053780
883.218800 8.922228 0.084831
882.811500 11.543999 1.101465
882.404100 5.497202 7.231048
881.996600 0.459501 3.906194
881.589000 1.341232 1.797456
881.181300 0.814990 0.342580
880.773600 1.766898 3.480460
880.365800 0.851681 3.046619
879.957900 0.685302 3.688446
879.549900 0.435243 2.392174
879.141800 0.315863 1.149138
878.733600 0.918245 3.972008
878.325300 0.537009 0.626010
877.917000 0.439393 2.870187
877.508500 0.398398 5.720964
877.100000 0.417522 7.870958
876.691500 0.538150 8.423013
876.282800 0.388269 7.795671
875.874000 0.151133 6.238166
875.465100 0.314800 5.645274
875.056200 0.329564 3.108635
874.647200 0.765937 13.439352
874.238000 0.313530 0.413219
873.828900 0.926585 1.245259
873.419600 0.885753 0.567712
873.010200 1.027482 0.503405
872.600700 0.917061 0.512502
872.191200 0.745071 0.270666
871.781600 0.843414 0.142903
871.371800 1.071481 0.404218
870.962000 2.646852 0.693837
870.552100 4.278514 4.773575
870.142200 4.771363 0.583087
869.732100 2.170889 0.942444
869.321900 1.308706 0.350292
868.911700 0.882343 0.222617
868.501300 0.703798 0.112758
868.090900 0.689503 0.136873
867.680500 0.761150 0.133960
867.269900 0.944682 0.029670
866.859200 1.042211 0.047057
866.448500 1.189179 0.141743
866.037600 1.112722 0.157925
865.626700 1.063220 0.219810
865.215700 1.132987 0.188550
864.804600 0.965687 0.199369
864.393400 0.836278 0.199164
863.982100 0.627010 0.215251
863.570700 0.622778 0.173371
863.159300 0.719941 0.035346
862.747700 0.667220 0.103378
862.336100 0.780476 0.141783
861.924400 0.949500 0.093943
861.512600 1.027459 0.197198
861.100800 1.079750 0.266125
860.688800 1.157228 0.446069
860.276700 0.942741 0.496496
859.864600 0.728164 0.511003
859.452300 0.698543 0.441544
859.040000 1.026430 0.281624
858.627600 2.101101 0.125001
858.215100 1.867519 0.122940
857.802600 0.815347 0.073928
857.389900 0.703874 0.094241
856.977100 0.687849 0.079406
856.564300 0.729352 0.115572
856.151400 0.985801 0.158357
855.738300 1.330683 0.226213
855.325300 1.356748 0.171188
854.912000 1.186834 0.187662
854.498800 0.717298 0.130539
854.085400 0.895162 0.113618
853.671900 1.340943 0.003606
853.258400 2.327702 0.084890
852.844800 2.481427 0.176001
852.431100 2.069632 0.204105
852.017300 1.367269 0.157507
851.603400 0.882028 0.266346
851.189400 0.737686 0.308075
850.775300 0.750500 0.344597
850.361200 0.893769 0.345665
849.947000 0.787221 0.233072
849.532600 0.714522 0.251597
849.118200 0.676350 0.227921
848.703700 0.753748 0.132827
848.289100 0.746863 0.059045
847.874400 0.693658 0.054629
847.459700 0.728867 0.091657
847.044800 0.628744 0.118424
846.629800 0.617157 0.130806
846.214800 0.636562 0.138174
845.799700 0.752108 0.082614
845.384500 0.740525 0.094177
844.969200 0.742817 0.021221
844.553800 0.714560 0.117628
844.138300 0.839697 0.050319
843.722700 0.688189 0.191196
843.307100 0.693171 0.207926
842.891400 0.861553 0.169438
842.475500 0.779593 0.105513
842.059600 0.780942 0.061539
841.643600 0.772203 0.063151
841.227500 0.749539 0.055245
840.811300 0.705947 0.053395
840.395100 0.700297 0.061598
839.978700 0.678216 0.062931
