# TiO2_RTP_aire
# Longitud_de_onda[nm]	Indice_refraccion
576.8332	2.192275
576.3586	2.193459
575.8840	2.194644
575.4093	2.195831
574.9344	2.197021
574.4595	2.198212
573.9844	2.199406
573.5092	2.200602
573.0339	2.201800
572.5586	2.203000
572.0831	2.204203
571.6075	2.205407
571.1318	2.206614
570.6559	2.207823
570.1801	2.209034
569.7040	2.210247
569.2278	2.211463
568.7516	2.212681
568.2753	2.213900
567.7988	2.215122
567.3222	2.216347
566.8455	2.217573
566.3687	2.218802
565.8918	2.220033
565.4149	2.221265
564.9377	2.222501
564.4605	2.223738
563.9832	2.224978
563.5057	2.226220
563.0282	2.227464
562.5505	2.228710
562.0728	2.229958
561.5948	2.231210
561.1169	2.232462
560.6388	2.233718
560.1606	2.234975
559.6823	2.236235
559.2039	2.237497
558.7253	2.238761
558.2467	2.240027
557.7679	2.241296
557.2891	2.242567
556.8102	2.243840
556.3311	2.245115
555.8519	2.246393
555.3726	2.247673
554.8932	2.248955
554.4137	2.250240
553.9341	2.251526
553.4543	2.252816
552.9745	2.254107
552.4946	2.255400
552.0145	2.256696
551.5344	2.257994
551.0541	2.259295
550.5737	2.260597
550.0933	2.261902
549.6127	2.263209
549.1320	2.264519
548.6511	2.265831
548.1702	2.267145
547.6891	2.268462
547.2080	2.269780
546.7267	2.271101
546.2454	2.272424
545.7639	2.273750
545.2823	2.275078
544.8007	2.276408
544.3188	2.277741
543.8369	2.279076
543.3549	2.280413
542.8728	2.281752
542.3905	2.283094
541.9082	2.284438
541.4257	2.285785
540.9431	2.287134
540.4604	2.288485
539.9777	2.289838
539.4948	2.291194
539.0118	2.292552
538.5286	2.293912
538.0454	2.295275
537.5621	2.296640
537.0786	2.298007
536.5950	2.299377
536.1114	2.300749
535.6276	2.302124
535.1437	2.303500
534.6597	2.304879
534.1756	2.306261
533.6913	2.307645
533.2070	2.309031
532.7226	2.310419
532.2380	2.311810
531.7534	2.313203
531.2686	2.314598
530.7837	2.315996
530.2987	2.317397
529.8136	2.318799
529.3284	2.320204
528.8430	2.321611
528.3576	2.323021
527.8720	2.324433
527.3864	2.325847
526.9006	2.327263
526.4147	2.328682
525.9287	2.330104
525.4426	2.331527
524.9564	2.332953
524.4700	2.334382
523.9836	2.335813
523.4971	2.337245
523.0104	2.338681
522.5236	2.340119
522.0367	2.341559
521.5497	2.343001
521.0626	2.344446
520.5754	2.345893
520.0881	2.347343
519.6006	2.348795
519.1131	2.350249
518.6254	2.351705
518.1377	2.353164
517.6498	2.354625
517.1618	2.356089
516.6737	2.357555
516.1855	2.359023
515.6971	2.360494
515.2087	2.361967
514.7202	2.363442
514.2314	2.364920
513.7427	2.366400
513.2538	2.367882
512.7648	2.369366
512.2757	2.370853
511.7864	2.372343
511.2971	2.373834
510.8076	2.375328
510.3181	2.376824
509.8284	2.378323
509.3386	2.379824
508.8488	2.381327
508.3587	2.382833
507.8686	2.384340
507.3784	2.385850
506.8880	2.387363
506.3976	2.388878
505.9070	2.390395
505.4163	2.391914
504.9255	2.393436
504.4346	2.394960
503.9436	2.396486
503.4525	2.398014
502.9612	2.399545
502.4698	2.401078
501.9784	2.402613
501.4868	2.404151
500.9951	2.405691
500.5033	2.407233
500.0114	2.408777
499.5193	2.410324
499.0272	2.411873
498.5349	2.413424
498.0426	2.414977
497.5501	2.416533
497.0575	2.418091
496.5648	2.419651
496.0720	2.421213
495.5790	2.422778
495.0860	2.424344
494.5928	2.425913
494.0995	2.427485
493.6062	2.429058
493.1127	2.430633
492.6190	2.432211
492.1253	2.433791
491.6315	2.435373
491.1375	2.436957
490.6435	2.438543
490.1493	2.440132
489.6550	2.441723
489.1606	2.443315
488.6661	2.444910
488.1714	2.446507
487.6767	2.448107
487.1818	2.449708
486.6869	2.451311
486.1918	2.452917
485.6966	2.454524
485.2013	2.456134
484.7058	2.457746
484.2103	2.459359
483.7146	2.460975
483.2189	2.462593
482.7230	2.464213
482.2270	2.465835
481.7309	2.467459
481.2346	2.469085
480.7383	2.470713
480.2419	2.472343
479.7453	2.473975
479.2486	2.475609
478.7518	2.477245
478.2549	2.478883
477.7579	2.480522
477.2608	2.482164
476.7635	2.483808
476.2662	2.485453
475.7687	2.487100
475.2711	2.488750
474.7734	2.490401
474.2756	2.492054
473.7776	2.493709
473.2796	2.495365
472.7814	2.497024
472.2831	2.498684
471.7848	2.500346
471.2863	2.502010
470.7876	2.503676
470.2889	2.505343
469.7900	2.507013
469.2911	2.508683
468.7920	2.510356
468.2928	2.512030
467.7935	2.513706
467.2941	2.515384
466.7945	2.517063
466.2949	2.518744
465.7951	2.520426
465.2952	2.522111
464.7952	2.523796
464.2951	2.525484
463.7949	2.527172
463.2946	2.528863
462.7941	2.530555
462.2935	2.532248
461.7928	2.533943
461.2921	2.535639
460.7911	2.537337
