# lams, psi_mean, delta_mean
739.607700 28.810254 77.027775
739.169600 28.903477 76.981464
738.731300 28.977538 76.946747
738.293000 29.053816 76.896062
737.854500 29.121707 76.853393
737.416000 29.214870 76.811374
736.977300 29.276748 76.774414
736.538600 29.342368 76.739934
736.099700 29.415231 76.709609
735.660800 29.498937 76.683976
735.221800 29.570341 76.651170
734.782700 29.617919 76.638360
734.343400 29.701938 76.600215
733.904100 29.786768 76.557524
733.464700 29.850082 76.524296
733.025200 29.912662 76.505418
732.585600 30.029465 76.457580
732.145900 30.096937 76.432089
731.706100 30.135567 76.405643
731.266200 30.217595 76.390704
730.826200 30.287427 76.364694
730.386100 30.325231 76.356531
729.945900 30.393752 76.324056
729.505700 30.446221 76.296225
729.065300 30.539306 76.250854
728.624800 30.595672 76.227230
728.184300 30.657435 76.209758
727.743600 30.729765 76.191280
727.302800 30.791952 76.181691
726.861900 30.876991 76.143272
726.421000 30.937310 76.128206
725.979900 31.020914 76.108757
725.538800 31.079340 76.071093
725.097500 31.158387 76.029718
724.656100 31.232030 76.007585
724.214700 31.281902 75.993453
723.773200 31.346628 75.975382
723.331500 31.405712 75.963132
722.889800 31.482262 75.922154
722.447900 31.555168 75.905640
722.006000 31.626494 75.887351
721.564000 31.725554 75.846938
721.121800 31.801760 75.829563
720.679600 31.879465 75.818433
720.237300 31.952041 75.800251
719.794900 32.011768 75.800984
719.352400 32.094089 75.780269
718.909700 32.164170 75.762189
718.467000 32.227731 75.745975
718.024200 32.337655 75.715829
717.581300 32.411768 75.692894
717.138300 32.492301 75.674491
716.695200 32.564720 75.658441
716.252000 32.652689 75.638837
715.808700 32.745438 75.603580
715.365300 32.832491 75.579929
714.921800 32.909472 75.583491
714.478200 32.991856 75.565723
714.034500 33.084853 75.536064
713.590700 33.181957 75.519964
713.146900 33.244106 75.499976
712.702800 33.316764 75.482521
712.258800 33.426531 75.463162
711.814600 33.517897 75.446887
711.370300 33.609538 75.431205
710.925900 33.705518 75.403954
710.481400 33.782089 75.394851
710.036900 33.878736 75.384829
709.592200 33.972626 75.373656
709.147400 34.066796 75.371343
708.702600 34.155373 75.367288
708.257600 34.236671 75.364572
707.812500 34.334647 75.367266
707.367400 34.410031 75.353568
706.922100 34.497511 75.347935
706.476700 34.576516 75.337530
706.031300 34.657550 75.322159
705.585700 34.735434 75.319995
705.140100 34.836386 75.323260
704.694300 34.935002 75.326933
704.248400 35.005630 75.327408
703.802500 35.079163 75.330018
703.356400 35.164436 75.314806
702.910300 35.256514 75.318348
702.464100 35.341794 75.313576
702.017700 35.437232 75.315752
701.571200 35.517806 75.319467
701.124700 35.619725 75.329985
700.678000 35.689765 75.343219
700.231300 35.769985 75.355620
699.784400 35.848546 75.366762
699.337500 35.908733 75.378779
698.890400 35.989442 75.385066
698.443300 36.058346 75.400022
697.996100 36.145270 75.399841
